total day charge,total eve charge,total night charge,total intl charge,ARPU,phone number
35.19,13.17,11.03,3.62,63.01,384-2632
10,18.66,6.85,1.92,37.43,359-8466
11.68,17.78,8.88,3.08,41.42,331-8909
40.66,20.02,7.03,2.57,70.28,359-5160
33.71,18.45,8.48,3.38,64.02,330-9833
34.88,20.45,3.59,3.89,62.81,362-2314
32.66,26.6,5.86,2.13,67.25,338-8478
46.34,21.14,8.88,2.57,78.93,387-5453
21.81,16.75,6.23,3.29,48.08,380-3437
28.83,22.45,9.28,2.51,63.07,365-8779
34.22,12.99,10.49,2.03,59.73,407-2750
36.5,11.77,7.61,2.32,58.2,396-8265
28.76,23.08,7.66,2.86,62.36,397-4304
33,15.01,13.63,1.89,63.53,333-2611
39.75,22.65,9.57,2.05,74.02,409-8814
38.27,16.93,7.9,3.94,67.04,336-5406
36.21,15.01,11.82,2.46,65.5,343-6940
31.26,21.75,12.38,2.92,68.31,361-9923
37.71,13.74,10.25,3.78,65.48,350-6639
10.98,14.97,11.02,0,36.97,376-4300
26.28,7.09,7.47,3.59,44.43,349-6567
44.23,15.23,6.08,1.94,67.48,333-7749
27.47,10.46,11.76,3.29,52.98,408-6089
37.5,13.19,8.4,2.84,61.93,375-2165
26.5,13.8,5.74,3.54,49.58,400-6999
18.19,8.98,10.94,3.46,41.57,420-7823
31.03,17.4,10.35,3.05,61.83,366-5241
37.42,19.92,10.68,2.73,70.75,413-3412
25.87,15.06,4.34,1.43,46.7,406-2752
30.86,17.43,9.18,3.97,61.44,337-8078
40.15,18.58,8.73,3.56,71.02,402-1942
28.24,6.74,9.62,3.43,48.03,371-7917
41.58,16.05,9.27,3.05,69.95,343-6374
22.81,19.32,5.51,2.3,49.94,385-8730
25.45,17.94,5.14,2.48,51.01,393-7892
25.52,22.5,8.03,1.57,57.62,407-6748
43.71,26.54,8.24,2.38,80.87,341-4463
21.15,15.27,11.39,3.05,50.86,351-2587
24.09,19.75,9.99,3.24,57.07,421-9752
39.1,8.77,13.93,3.05,64.85,356-4001
27.59,18.16,8.64,2.94,57.33,328-9869
59.64,18.4,11.43,2.73,92.2,343-5709
32.86,22.45,5.79,2.46,63.56,334-1872
13.29,21.54,11.48,4.86,51.17,350-1040
14.18,19.74,6.6,2.05,42.57,369-3214
33.25,22.76,7.42,4.32,67.75,385-6778
34.31,19.13,9.2,2.78,65.42,383-7689
33.49,18.94,10.14,2.86,65.43,385-5722
37.06,9.72,12.11,3.35,62.24,357-1909
28.02,19.54,7.53,4,59.09,364-3567
30.46,17.91,12.46,2.48,63.31,422-4241
36.38,15.3,6.05,2.86,60.59,370-2957
28.99,10.05,8.46,3.02,50.52,329-6562
34.97,18.23,10.17,1.81,65.18,363-3515
28.14,24.33,8.95,3.11,64.53,374-7787
37.57,13.66,10.49,1.84,63.56,345-2931
41.16,16.24,9.84,3.97,71.21,373-5732
25.77,13.21,10.8,3.97,53.75,348-7437
29.95,12.33,11.23,1.54,55.05,332-9460
33.32,27.43,10.15,1,71.9,355-6531
27.12,21,8.46,1.94,58.52,336-9390
39.13,18.73,9.21,2.89,69.96,346-8581
24.94,23.29,14.46,2.4,65.09,363-8824
35.79,17.38,5.75,2.3,61.22,353-3351
17.34,22.97,6.67,2.89,49.87,360-4320
21.42,20.27,12.83,2.75,57.27,417-6252
28.63,20.72,9.66,3,62.01,393-4949
17.95,21.95,9.59,2.35,51.84,401-3156
35.11,14.98,10.48,3.35,63.92,338-6283
36.91,17.44,8.36,2.54,65.25,352-9017
39.03,17.48,7.48,2.92,66.91,405-5305
47.31,7.94,4.84,2.62,62.71,376-9249
23.56,16.92,9.18,2.11,51.77,339-7139
39.85,23.74,10.54,0.54,74.67,328-6011
30.86,11.11,8.39,2.3,52.66,378-1303
28.44,19.55,8.63,2.86,59.48,402-5155
20.57,18.61,10.2,3.24,52.62,333-5430
37.59,9.42,10.8,2.86,60.67,365-9696
24.79,16.34,7.43,2.67,51.23,410-4023
37.88,13.87,7.23,3.02,62,411-7649
31.18,20.57,9.06,2.03,62.84,338-4065
44.93,13.68,8.94,2.51,70.06,421-9401
24.82,9.32,11.13,1.84,47.11,343-9658
26.71,15.72,8.87,2.3,53.6,332-5521
21.64,21.36,6.08,2.78,51.86,349-4369
31.94,16.75,7.52,1.3,57.51,351-4288
30.4,12,9.14,2.27,53.81,422-5874
16.52,15.83,8.5,2.81,43.66,396-2324
44.17,20.6,7.6,1.46,73.83,416-5662
43.61,16.96,8.47,1.89,70.93,363-9663
28.82,10.54,9.87,2.7,51.93,410-9477
40.75,24.05,10.73,2.35,77.88,352-4418
29.16,13.6,9.56,1.35,53.67,361-6563
40.78,14.86,9.43,2.65,67.72,417-4404
24.19,16.56,10.77,4.32,55.84,372-8048
31.3,27.8,9.56,2.03,70.69,356-3646
35.17,22.47,7.73,2.51,67.88,351-9604
44.18,14.98,3.47,4.13,66.76,355-9581
34.65,24.06,8.88,3.38,70.97,396-5189
42.3,11.93,11.86,2.78,68.87,356-9187
37.67,11.07,9,3.05,60.79,394-5537
32.79,15.77,9.23,2.94,60.73,408-2712
20.81,9.64,8.11,3.38,41.94,404-4486
17.83,18.39,9.78,2.59,48.59,355-1113
29.44,16.73,9.42,3.02,58.61,411-4674
20.3,23.23,9.65,3.35,56.53,376-4519
42.55,22.15,8.78,3.59,77.07,365-5979
30.31,24.02,8.15,3.08,65.56,382-2879
41.38,15.48,11.66,3.46,71.98,420-1383
26.35,14.9,7,3.19,51.44,411-7390
49.08,17.32,9.14,2.32,77.86,383-8848
40.87,10.11,7.39,3.02,61.39,387-9301
32.35,25.61,9.66,2.16,69.78,399-3164
47.26,15.02,9.88,2.24,74.4,385-8997
26.35,28.1,8.52,3.65,66.62,352-6573
26.1,16.8,8.93,1.7,53.53,408-3384
46.48,13.09,11.06,3.32,73.95,419-6033
26.4,22.58,6.56,3.35,58.89,336-2090
22.63,18.8,5.92,1.84,49.19,343-7242
41.96,15.96,6.95,3.4,68.27,376-1713
28.12,16.66,15.71,2.59,63.08,381-5878
10.12,21.86,9.37,3,44.35,390-5470
23.51,20.06,8.06,2.59,54.22,414-4803
48.74,11.42,8.68,1.86,70.7,382-5478
19.94,17.09,4.86,3.29,45.18,333-7637
44.93,17.24,7.8,1.7,71.67,341-1647
21.74,23.05,9.1,3.38,57.27,411-4232
38.34,20.94,11.06,2.65,72.99,339-2616
25.33,20.85,11.7,2.24,60.12,327-3850
33.81,23.29,8.58,3.86,69.54,328-7209
43.59,23.28,10.02,3,79.89,405-6189
45.02,20.86,7.22,4,77.1,418-6737
16.69,15.34,10.06,2.51,44.6,366-2212
27.17,22.44,5.21,2.62,57.44,356-1420
32.4,18.71,8.11,1.62,60.84,343-1323
31.28,10.23,6.92,2.97,51.4,361-8239
44.51,18.75,6.15,2.59,72,384-1621
25.14,19.41,13.49,2.59,60.63,360-3525
18.09,9.19,9.38,2.73,39.39,392-3813
22.73,16.6,12.62,1.59,53.54,337-6898
32.9,18.72,12.26,2.3,66.18,366-8036
30.29,14.26,8.19,3.67,56.41,352-8327
38.45,15.44,11.65,2.84,68.38,334-9505
28.97,17.02,11.62,3.13,60.74,336-5702
12.05,14.17,11.02,3,40.24,392-2381
33.05,21.67,7.21,4.64,66.57,369-6880
40.85,13.99,10.83,2.86,68.53,416-8697
12.75,21.14,7.92,2.57,44.38,345-3451
11.75,11.59,8.18,1.7,33.22,379-2514
16.42,26.81,7.35,1.67,52.25,418-6651
36.48,19.98,7.33,4,67.79,421-3528
25.25,12.45,13.01,2.67,53.38,329-9046
43.88,13.72,10.13,3.16,70.89,406-3890
25.45,13.81,9.91,2.05,51.22,403-8904
25.47,13.97,13.26,2.19,54.89,393-4086
32.37,13.44,12.22,3.02,61.05,400-1367
30.84,21.57,5.05,3.13,60.59,377-9473
25.69,15.93,11.49,1.43,54.54,396-3068
26.47,14.76,11.58,2.19,55,331-9293
25.48,21.77,9.57,3.59,60.41,347-1914
37.79,19.68,10.06,2.97,70.5,395-1962
25.4,11.2,5.97,1.81,44.38,401-5485
39.75,18.84,6.61,3.46,68.66,355-6560
34.71,24.87,10.99,2.84,73.41,363-3911
41.29,17.83,10.28,0,69.4,345-1998
25.57,19.59,8.38,3.32,56.86,361-5277
35.51,21.45,12.61,3.46,73.03,376-7145
32.62,21.77,9.17,3.86,67.42,375-2975
22.22,22.15,10.99,2.54,57.9,376-8573
20.33,23.69,11.85,1.59,57.46,366-7360
46.51,9.74,11.28,2.21,69.74,347-7898
26.54,15.33,8.08,3,52.95,390-7328
30.38,15.18,5.71,2.16,53.43,356-5491
30.18,24.43,8.12,3.21,65.94,373-3251
35.92,8.98,7.92,2.62,55.44,343-1965
29.78,20.77,3.41,2.03,55.99,378-8019
19.43,16.18,10.82,3.4,49.83,386-1548
42.74,19.13,11.34,2.03,75.24,397-1649
36.87,17.63,9.98,4.73,69.21,366-7247
36.92,12.37,12.63,2.51,64.43,402-9691
35.07,13.17,11.86,3.35,63.45,334-9806
27.08,10.7,11.79,3,52.57,378-7733
24.33,20.11,10.25,3.08,57.77,407-2248
26.18,28.03,12.96,1.51,68.68,405-3916
31.72,18.87,10.57,3.13,64.29,407-2081
29.04,16.96,7.64,2.59,56.23,397-9148
21.08,17.25,9.23,3.32,50.88,415-4857
33.71,23.74,6.58,4,68.03,354-7314
29.38,17.41,10.84,2.46,60.09,346-5611
36.96,18.17,10.22,1.78,67.13,349-4703
45.2,18.34,4.86,3.78,72.18,411-7778
15.91,16.47,6.52,4.73,43.63,421-1469
16.69,26.11,8.21,2.05,53.06,420-5990
36.5,13.48,5.55,2.54,58.07,389-4780
28.59,19.1,7.63,3.48,58.8,357-2735
34.49,13.07,5.11,2.43,55.1,409-4791
44.44,13.13,5.89,3.13,66.59,380-5286
12.46,13.72,10.78,2.21,39.17,394-8402
43.13,19.48,8.57,2.48,73.66,392-1616
7.65,12.86,6.88,2.65,30.04,364-1969
39.32,14.59,3.05,3.51,60.47,390-4152
8.06,14.26,7.34,2.84,32.5,367-7039
38.66,15.51,8.63,3.38,66.18,391-6607
6.95,11.34,11.89,3.21,33.39,379-6652
21.22,13.37,8.97,2.32,45.88,384-1833
11.65,28.65,9.23,3.27,52.8,403-2455
27.8,17.26,10.44,2.11,57.61,391-1348
27.71,18.62,10.5,1.81,58.64,408-4174
36.33,21.51,9.35,2.89,70.08,366-4334
34.22,3.59,5.66,1.46,44.93,406-5059
52.77,5.65,11.09,2.48,71.99,373-6784
8.23,23.89,9.83,4.91,46.86,408-3532
29.1,12.38,8.86,3.78,54.12,350-8680
28.31,15.56,5.44,2.3,51.61,398-9870
36.82,16.22,10.11,3.35,66.5,343-3356
18.33,18.41,9.79,2.67,49.2,415-4609
24.02,14.28,5.11,2.11,45.52,404-5387
35.68,13.43,6.39,1.78,57.28,415-8151
40.38,21.54,11.93,3.83,77.68,416-2778
39.87,18.4,8.62,0.95,67.84,393-3300
17.53,20.66,3.44,3.29,44.92,391-7661
22.02,21.16,12.06,3.21,58.45,339-4317
47.57,21.14,7.69,2.27,78.67,418-6455
23.26,17.07,6.02,2.78,49.13,378-3508
17.02,20.94,11.48,1.59,51.03,390-9359
40.31,17.48,8.85,2.73,69.37,364-2495
29.38,15.56,7.15,2.13,54.22,364-7719
38.17,17.06,5.25,3.11,63.59,421-1189
48.98,21.93,8.66,2.75,82.32,419-8987
13.29,16.65,4.86,2.73,37.53,402-9980
25.28,22.02,6.73,3.43,57.46,376-5908
33.08,10.19,7.9,3.54,54.71,400-3150
27.12,25.82,10.21,3.24,66.39,336-1749
33.07,18.16,10.65,2.57,64.45,420-1259
29.6,21.34,11.59,2.24,64.77,339-7541
22.41,11.62,13.87,2.08,49.98,378-9029
27.3,20.15,11.03,2.89,61.37,342-7514
