phone number,customer service calls,Number of complaint raised,Time for resolution,payment_made_but_order_not_placed_and_amount_is_deducted_from_my_bank_account,Billing_issue,Calls_are_not_going,drop_calls,No_internet_connection,order,payment_refund,recharge_offer_service_fraud,Slow_network_coverage,uninformed___unsubscribed_weekly_amount_deduction
356-1567,0,0,0,0,0,0,0,0,0,0,0,0,0
422-6685,3,1,14,0,1,0,0,0,0,0,0,0,0
336-1090,1,1,2,0,0,0,0,0,1,0,0,0,0
343-2095,1,1,21,0,0,0,0,0,0,1,0,0,0
345-3934,2,1,26,1,0,0,0,0,0,0,0,0,0
338-8050,2,2,37,0,0,0,1,0,0,0,0,1,0
388-9568,1,1,9,0,0,0,0,1,0,0,0,0,0
402-6591,3,1,9,0,0,0,0,0,0,0,1,0,0
403-6419,2,1,27,0,0,0,0,0,0,0,1,0,0
386-9790,4,4,91,0,0,1,0,1,2,0,0,0,0
378-5692,0,0,0,0,0,0,0,0,0,0,0,0,0
360-3324,0,0,0,0,0,0,0,0,0,0,0,0,0
410-3719,1,1,2,0,0,0,0,0,0,0,1,0,0
352-4221,3,2,54,0,0,0,0,0,0,2,0,0,0
327-6179,0,0,0,0,0,0,0,0,0,0,0,0,0
359-6196,1,1,12,0,0,0,1,0,0,0,0,0,0
374-9107,5,3,76,0,1,0,1,0,0,0,1,0,0
357-4078,2,1,15,0,0,0,0,0,1,0,0,0,0
366-5780,3,3,63,0,1,0,0,0,1,0,0,0,1
393-9619,0,0,0,0,0,0,0,0,0,0,0,0,0
355-9295,1,1,6,0,0,0,0,0,0,0,0,1,0
400-5751,0,0,0,0,0,0,0,0,0,0,0,0,0
338-1027,2,1,30,0,0,0,1,0,0,0,0,0,0
405-8867,1,1,8,0,0,0,1,0,0,0,0,0,0
336-5616,3,1,24,0,0,0,0,1,0,0,0,0,0
335-1697,0,0,0,0,0,0,0,0,0,0,0,0,0
331-5138,0,0,0,0,0,0,0,0,0,0,0,0,0
385-8240,0,0,0,0,0,0,0,0,0,0,0,0,0
348-1359,0,0,0,0,0,0,0,0,0,0,0,0,0
354-7339,4,2,35,0,0,0,0,0,0,0,0,0,2
349-1687,2,1,30,0,0,0,0,0,0,0,0,0,1
380-2558,4,3,77,1,0,1,0,0,0,0,0,1,0
365-2153,4,1,22,0,0,0,0,0,0,0,1,0,0
345-6043,3,1,32,0,0,0,0,0,0,0,1,0,0
349-2808,0,0,0,0,0,0,0,0,0,0,0,0,0
411-1715,0,0,0,0,0,0,0,0,0,0,0,0,0
385-2488,4,2,71,0,0,0,1,0,0,0,0,0,1
377-7177,1,1,14,0,0,1,0,0,0,0,0,0,0
342-1099,1,1,8,1,0,0,0,0,0,0,0,0,0
386-4170,1,1,20,0,0,0,0,0,0,0,1,0,0
413-1269,1,1,7,1,0,0,0,0,0,0,0,0,0
396-4460,1,1,24,0,0,0,0,0,0,0,1,0,0
334-2730,1,1,12,0,0,0,0,0,1,0,0,0,0
340-3182,1,1,18,0,0,0,1,0,0,0,0,0,0
377-8608,1,1,6,0,0,0,0,0,0,0,0,0,1
417-3676,2,1,21,0,0,0,1,0,0,0,0,0,0
417-6774,1,1,17,0,0,0,0,0,0,0,1,0,0
411-9554,4,3,107,0,0,2,0,0,0,0,1,0,0
420-3192,3,1,22,0,0,0,0,0,0,1,0,0,0
389-1475,0,0,0,0,0,0,0,0,0,0,0,0,0
343-7734,2,0,0,0,0,0,0,0,0,0,0,0,0
410-3390,0,0,0,0,0,0,0,0,0,0,0,0,0
344-6495,1,1,8,0,0,0,0,0,0,0,1,0,0
331-6229,3,2,39,0,0,1,1,0,0,0,0,0,0
337-7501,3,0,0,0,0,0,0,0,0,0,0,0,0
339-9631,1,1,21,0,0,0,1,0,0,0,0,0,0
369-4384,3,3,72,1,1,0,0,0,0,0,0,0,1
416-3915,0,0,0,0,0,0,0,0,0,0,0,0,0
339-3049,2,0,0,0,0,0,0,0,0,0,0,0,0
361-7998,2,2,28,0,0,0,1,0,0,0,0,1,0
355-4842,3,1,9,0,0,0,0,0,0,1,0,0,0
387-6440,2,1,16,0,0,0,0,0,0,0,0,1,0
369-2625,2,1,13,0,0,0,0,0,0,0,0,0,1
389-7073,1,1,19,0,1,0,0,0,0,0,0,0,0
370-8463,1,1,7,0,0,0,0,0,0,1,0,0,0
362-7318,3,2,36,0,0,0,0,1,0,0,1,0,0
412-1194,2,1,27,0,0,0,0,0,0,0,1,0,0
355-9508,2,1,8,0,0,0,0,0,0,0,1,0,0
352-8202,2,1,9,0,0,0,0,0,0,0,0,1,0
335-5882,0,0,0,0,0,0,0,0,0,0,0,0,0
352-6976,1,1,22,0,0,0,0,0,1,0,0,0,0
393-6733,0,0,0,0,0,0,0,0,0,0,0,0,0
335-1838,0,0,0,0,0,0,0,0,0,0,0,0,0
355-6930,1,1,23,0,0,0,1,0,0,0,0,0,0
387-5860,5,0,0,0,0,0,0,0,0,0,0,0,0
343-2605,1,1,9,0,0,0,0,0,0,0,0,1,0
350-6759,1,1,10,0,1,0,0,0,0,0,0,0,0
371-1514,2,0,0,0,0,0,0,0,0,0,0,0,0
346-9317,0,0,0,0,0,0,0,0,0,0,0,0,0
398-4313,4,2,68,0,0,1,0,0,0,0,0,1,0
412-4399,1,1,14,0,0,0,0,0,0,1,0,0,0
330-1835,2,1,20,0,0,0,0,0,0,1,0,0,0
416-1676,1,1,5,0,0,0,0,0,0,0,1,0,0
329-7347,0,0,0,0,0,0,0,0,0,0,0,0,0
360-6868,1,1,13,0,0,0,0,0,0,1,0,0,0
405-6641,1,1,7,0,0,0,0,1,0,0,0,0,0
393-2373,2,2,36,1,0,0,0,0,0,0,0,1,0
419-1714,1,1,12,0,0,0,0,0,0,1,0,0,0
336-3819,4,2,64,0,1,0,0,0,0,0,0,0,1
341-3464,0,0,0,0,0,0,0,0,0,0,0,0,0
413-5310,3,1,24,0,0,0,1,0,0,0,0,0,0
366-7912,1,1,12,0,0,1,0,0,0,0,0,0,0
399-8845,1,1,21,0,0,0,0,0,0,1,0,0,0
368-2583,0,0,0,0,0,0,0,0,0,0,0,0,0
360-6309,0,0,0,0,0,0,0,0,0,0,0,0,0
359-5890,0,0,0,0,0,0,0,0,0,0,0,0,0
332-2462,1,1,19,1,0,0,0,0,0,0,0,0,0
381-9196,2,1,7,1,0,0,0,0,0,0,0,0,0
329-3222,3,1,26,0,0,0,0,0,0,0,1,0,0
363-5819,3,1,23,0,0,0,0,0,0,0,0,1,0
413-9269,2,1,12,0,0,0,0,0,1,0,0,0,0
330-7483,0,0,0,0,0,0,0,0,0,0,0,0,0
403-7775,1,1,2,0,0,0,0,0,0,0,1,0,0
360-2479,0,0,0,0,0,0,0,0,0,0,0,0,0
394-3791,1,1,6,0,0,0,0,0,0,0,1,0,0
384-2632,3,2,63,0,0,0,1,1,0,0,0,0,0
359-8466,0,0,0,0,0,0,0,0,0,0,0,0,0
331-8909,1,1,13,0,0,0,0,0,0,1,0,0,0
359-5160,1,1,17,0,0,0,0,0,0,0,0,1,0
330-9833,0,0,0,0,0,0,0,0,0,0,0,0,0
362-2314,0,0,0,0,0,0,0,0,0,0,0,0,0
338-8478,3,2,37,1,0,0,0,0,0,0,0,0,1
387-5453,1,1,24,1,0,0,0,0,0,0,0,0,0
380-3437,7,6,247,0,0,1,0,2,0,1,1,1,0
365-8779,0,0,0,0,0,0,0,0,0,0,0,0,0
407-2750,1,1,6,1,0,0,0,0,0,0,0,0,0
396-8265,1,1,21,0,0,0,0,1,0,0,0,0,0
397-4304,0,0,0,0,0,0,0,0,0,0,0,0,0
333-2611,2,0,0,0,0,0,0,0,0,0,0,0,0
409-8814,2,0,0,0,0,0,0,0,0,0,0,0,0
336-5406,0,0,0,0,0,0,0,0,0,0,0,0,0
343-6940,1,1,2,0,1,0,0,0,0,0,0,0,0
361-9923,1,1,11,0,0,0,0,0,1,0,0,0,0
350-6639,0,0,0,0,0,0,0,0,0,0,0,0,0
376-4300,2,1,19,0,0,0,0,0,0,0,0,0,1
349-6567,1,1,5,0,0,1,0,0,0,0,0,0,0
333-7749,3,2,53,0,0,0,1,0,0,1,0,0,0
408-6089,1,1,22,0,0,0,0,0,0,0,1,0,0
375-2165,1,1,8,0,0,0,0,1,0,0,0,0,0
400-6999,3,1,33,0,0,0,0,0,0,0,0,1,0
420-7823,4,1,39,0,0,0,1,0,0,0,0,0,0
366-5241,4,2,69,0,1,0,0,0,0,0,0,1,0
413-3412,4,3,99,0,1,0,1,0,0,1,0,0,0
406-2752,1,1,24,0,0,0,0,0,1,0,0,0,0
337-8078,2,1,13,0,0,0,0,0,0,1,0,0,0
402-1942,2,0,0,0,0,0,0,0,0,0,0,0,0
371-7917,1,1,12,0,0,1,0,0,0,0,0,0,0
343-6374,1,1,8,0,0,0,0,0,0,0,0,0,1
385-8730,2,1,19,0,0,0,0,0,0,0,0,1,0
393-7892,1,1,24,0,0,0,0,0,0,1,0,0,0
407-6748,1,1,10,0,0,0,1,0,0,0,0,0,0
341-4463,1,1,18,1,0,0,0,0,0,0,0,0,0
351-2587,0,0,0,0,0,0,0,0,0,0,0,0,0
421-9752,1,1,19,1,0,0,0,0,0,0,0,0,0
356-4001,2,1,25,0,0,1,0,0,0,0,0,0,0
328-9869,0,0,0,0,0,0,0,0,0,0,0,0,0
343-5709,1,1,4,0,1,0,0,0,0,0,0,0,0
334-1872,4,3,46,1,0,1,0,0,1,0,0,0,0
350-1040,1,1,12,0,0,0,1,0,0,0,0,0,0
369-3214,1,1,8,0,1,0,0,0,0,0,0,0,0
385-6778,0,0,0,0,0,0,0,0,0,0,0,0,0
383-7689,1,1,14,0,1,0,0,0,0,0,0,0,0
385-5722,2,1,25,1,0,0,0,0,0,0,0,0,0
357-1909,0,0,0,0,0,0,0,0,0,0,0,0,0
364-3567,2,1,20,0,0,0,0,0,0,0,0,1,0
422-4241,2,1,11,0,0,0,0,0,0,0,0,0,1
370-2957,0,0,0,0,0,0,0,0,0,0,0,0,0
329-6562,2,1,12,0,0,0,0,0,0,1,0,0,0
363-3515,1,1,19,0,0,0,1,0,0,0,0,0,0
374-7787,1,1,16,0,0,0,0,0,0,0,1,0,0
345-2931,2,0,0,0,0,0,0,0,0,0,0,0,0
373-5732,3,1,11,0,0,0,1,0,0,0,0,0,0
348-7437,1,1,13,0,0,0,0,0,1,0,0,0,0
332-9460,0,0,0,0,0,0,0,0,0,0,0,0,0
355-6531,1,1,12,0,0,0,0,0,0,1,0,0,0
336-9390,2,1,23,0,0,0,0,0,0,0,0,0,1
346-8581,4,3,68,0,0,0,1,1,0,0,0,0,1
363-8824,3,1,18,0,0,0,0,0,0,0,0,1,0
353-3351,1,1,9,0,0,0,0,1,0,0,0,0,0
360-4320,1,1,14,1,0,0,0,0,0,0,0,0,0
417-6252,3,1,10,0,0,0,0,0,1,0,0,0,0
393-4949,1,1,13,0,1,0,0,0,0,0,0,0,0
401-3156,0,0,0,0,0,0,0,0,0,0,0,0,0
338-6283,5,2,36,0,0,1,1,0,0,0,0,0,0
352-9017,2,1,5,0,0,0,0,0,1,0,0,0,0
405-5305,0,0,0,0,0,0,0,0,0,0,0,0,0
376-9249,0,0,0,0,0,0,0,0,0,0,0,0,0
339-7139,0,0,0,0,0,0,0,0,0,0,0,0,0
328-6011,1,1,1,1,0,0,0,0,0,0,0,0,0
378-1303,1,1,5,0,0,0,1,0,0,0,0,0,0
402-5155,1,1,17,0,0,0,0,0,1,0,0,0,0
333-5430,1,1,18,0,1,0,0,0,0,0,0,0,0
365-9696,0,0,0,0,0,0,0,0,0,0,0,0,0
410-4023,1,1,10,0,0,0,0,0,0,0,0,0,1
411-7649,1,1,16,0,0,0,1,0,0,0,0,0,0
338-4065,4,3,111,1,0,0,0,0,2,0,0,0,0
421-9401,0,0,0,0,0,0,0,0,0,0,0,0,0
343-9658,0,0,0,0,0,0,0,0,0,0,0,0,0
332-5521,4,1,20,0,1,0,0,0,0,0,0,0,0
349-4369,1,1,12,0,0,0,1,0,0,0,0,0,0
351-4288,2,1,22,0,0,0,1,0,0,0,0,0,0
422-5874,2,0,0,0,0,0,0,0,0,0,0,0,0
396-2324,2,0,0,0,0,0,0,0,0,0,0,0,0
416-5662,0,0,0,0,0,0,0,0,0,0,0,0,0
363-9663,3,2,53,0,1,0,0,0,0,0,1,0,0
410-9477,0,0,0,0,0,0,0,0,0,0,0,0,0
352-4418,2,1,22,0,0,1,0,0,0,0,0,0,0
361-6563,1,1,19,0,0,0,0,0,1,0,0,0,0
417-4404,0,0,0,0,0,0,0,0,0,0,0,0,0
372-8048,1,1,10,0,0,0,0,0,0,0,0,0,1
356-3646,2,0,0,0,0,0,0,0,0,0,0,0,0
351-9604,2,2,46,0,0,0,0,1,0,0,1,0,0
355-9581,1,1,12,0,0,0,0,0,1,0,0,0,0
396-5189,0,0,0,0,0,0,0,0,0,0,0,0,0
356-9187,3,1,17,0,0,0,0,0,0,0,0,0,1
394-5537,1,1,6,0,0,0,0,1,0,0,0,0,0
408-2712,1,1,10,0,0,0,0,0,1,0,0,0,0
404-4486,1,1,10,1,0,0,0,0,0,0,0,0,0
355-1113,1,1,23,0,0,0,0,1,0,0,0,0,0
411-4674,3,2,43,0,0,0,0,1,0,0,0,0,1
376-4519,2,1,24,0,0,0,0,0,0,0,1,0,0
365-5979,2,1,21,0,0,0,0,0,0,1,0,0,0
382-2879,1,1,17,0,0,0,0,0,0,1,0,0,0
420-1383,1,1,19,0,0,0,0,0,1,0,0,0,0
411-7390,2,0,0,0,0,0,0,0,0,0,0,0,0
383-8848,0,0,0,0,0,0,0,0,0,0,0,0,0
387-9301,1,1,11,0,0,1,0,0,0,0,0,0,0
399-3164,1,1,10,1,0,0,0,0,0,0,0,0,0
385-8997,0,0,0,0,0,0,0,0,0,0,0,0,0
352-6573,1,1,17,0,0,0,0,0,0,0,0,1,0
408-3384,2,2,33,0,0,1,0,0,1,0,0,0,0
419-6033,1,1,10,0,0,0,0,0,0,1,0,0,0
336-2090,0,0,0,0,0,0,0,0,0,0,0,0,0
