churn,state,account length,area code,phone number,account (days),Age,Gender,Occupation,Joining date,Subsciption renewal date
FALSE,AZ,130,415,358-1958,910,62,Female,Retire,21/12/2015,20/12/2017
FALSE,SC,111,415,350-2565,777,54,Male,Senior Professional,2/5/2016,2/5/2018
FALSE,VA,132,510,343-4696,924,18,Female,student,7/12/2015,6/12/2017
FALSE,NE,174,415,331-3698,1218,48,Male,Middle Management,16/02/2015,15/02/2017
FALSE,WY,57,408,357-3817,399,66,Male,Retire,15/05/2017,15/05/2019
FALSE,MT,54,408,418-6412,378,73,Male,Retire,5/6/2017,5/6/2019
FALSE,MO,20,415,353-2630,140,75,Female,Retire,29/01/2018,29/01/2020
FALSE,HI,49,510,410-7789,343,67,Female,Retire,10/7/2017,10/7/2019
FALSE,IL,142,415,416-8428,994,75,Male,Retire,28/09/2015,27/09/2017
FALSE,NH,75,510,370-3359,525,23,Female,Middle Management,9/1/2017,9/1/2019
FALSE,LA,172,408,383-1121,1204,71,Male,Retire,2/3/2015,1/3/2017
TRUE,AZ,12,408,360-1596,84,45,Male,Middle Management,26/03/2018,25/03/2020
FALSE,OK,57,408,395-2854,399,69,Female,Retire,15/05/2017,15/05/2019
FALSE,GA,72,415,362-1407,504,19,Female,student,30/01/2017,30/01/2019
FALSE,AK,36,408,341-9764,252,41,Female,Sr Managers,9/10/2017,9/10/2019
FALSE,MA,78,415,353-3305,546,67,Male,Retire,19/12/2016,19/12/2018
FALSE,AK,136,415,402-1381,952,43,Female,Sr Managers,9/11/2015,8/11/2017
FALSE,NJ,149,408,332-9891,1043,69,Male,Retire,10/8/2015,9/8/2017
FALSE,GA,98,408,372-9976,686,67,Male,Retire,1/8/2016,1/8/2018
TRUE,MD,135,408,383-6029,945,22,Male,student,16/11/2015,15/11/2017
FALSE,AR,34,510,353-7289,238,54,Male,Senior Professional,23/10/2017,23/10/2019
FALSE,ID,160,415,390-7274,1120,57,Male,Senior Professional,25/05/2015,24/05/2017
FALSE,WI,64,510,352-1237,448,21,Male,student,27/03/2017,27/03/2019
FALSE,OR,59,408,353-3061,413,36,Female,Retire,1/5/2017,1/5/2019
FALSE,MI,65,415,363-5450,455,44,Female,Sr Managers,20/03/2017,20/03/2019
FALSE,DE,142,408,364-1995,994,23,Female,student,28/09/2015,27/09/2017
TRUE,ID,119,415,398-1294,833,38,Female,Senior Professional,7/3/2016,7/3/2018
FALSE,WY,97,415,405-7146,679,51,Female,Middle Management,8/8/2016,8/8/2018
FALSE,IA,52,408,413-4957,364,59,Male,Senior Professional,19/06/2017,19/06/2019
FALSE,IN,60,408,420-5645,420,28,Male,Sr Managers,24/04/2017,24/04/2019
FALSE,VA,10,408,349-4396,70,36,Female,Senior Professional,9/4/2018,8/4/2020
FALSE,UT,96,415,404-3211,672,69,Male,Retire,15/08/2016,15/08/2018
TRUE,WY,87,415,353-3759,609,59,Male,Senior Professional,17/10/2016,17/10/2018
FALSE,IN,81,408,363-5947,567,21,Female,student,28/11/2016,28/11/2018
FALSE,CO,141,415,340-5121,987,68,Female,Retire,5/10/2015,4/10/2017
TRUE,CO,121,408,370-7574,847,34,Male,student,22/02/2016,21/02/2018
FALSE,WI,68,415,403-9733,476,71,Male,Retire,27/02/2017,27/02/2019
FALSE,OK,125,408,355-7251,875,66,Male,Retire,25/01/2016,24/01/2018
FALSE,ID,174,408,359-5893,1218,57,Male,Senior Professional,16/02/2015,15/02/2017
FALSE,CA,116,415,405-3371,812,64,Male,Retire,28/03/2016,28/03/2018
FALSE,MN,74,510,344-5117,518,39,Male,Sr Managers,16/01/2017,16/01/2019
FALSE,SD,149,408,332-8160,1043,46,Male,Middle Management,10/8/2015,9/8/2017
FALSE,NC,38,408,359-4081,266,43,Male,Sr Managers,25/09/2017,25/09/2019
FALSE,WA,40,415,352-8305,280,65,Male,Retire,11/9/2017,11/9/2019
FALSE,WY,43,415,329-9847,301,47,Female,Middle Management,21/08/2017,21/08/2019
FALSE,MN,113,408,365-9011,791,43,Female,Sr Managers,18/04/2016,18/04/2018
FALSE,UT,126,408,338-9472,882,35,Male,student,18/01/2016,17/01/2018
TRUE,TX,150,510,374-8042,1050,37,Female,Senior Professional,3/8/2015,2/8/2017
FALSE,NJ,138,408,359-1231,966,35,Male,Retire,26/10/2015,25/10/2017
FALSE,MN,162,510,413-7170,1134,57,Female,Senior Professional,11/5/2015,10/5/2017
FALSE,NM,147,510,415-2935,1029,26,Female,Middle Management,24/08/2015,23/08/2017
FALSE,NV,90,415,399-4246,630,26,Male,Sr Managers,26/09/2016,26/09/2018
FALSE,HI,85,415,362-5889,595,34,Female,student,31/10/2016,31/10/2018
FALSE,MN,50,415,350-8921,350,21,Male,student,3/7/2017,3/7/2019
TRUE,DC,82,415,374-5353,574,57,Male,Senior Professional,21/11/2016,21/11/2018
TRUE,NY,144,408,360-1171,1008,46,Male,Middle Management,14/09/2015,13/09/2017
FALSE,MN,46,415,355-8887,322,45,Female,Middle Management,31/07/2017,31/07/2019
FALSE,MD,70,408,333-1967,490,56,Male,Senior Professional,13/02/2017,13/02/2019
FALSE,WV,144,415,354-4577,1008,41,Male,Sr Managers,14/09/2015,13/09/2017
FALSE,OR,116,415,331-7425,812,23,Female,Senior Professional,28/03/2016,28/03/2018
FALSE,CO,55,408,419-2637,385,30,Male,Middle Management,29/05/2017,29/05/2019
FALSE,GA,70,415,411-1530,490,44,Female,Sr Managers,13/02/2017,13/02/2019
TRUE,TX,106,510,395-3026,742,29,Female,student,6/6/2016,6/6/2018
FALSE,VT,128,510,388-6441,896,26,Male,Retire,4/1/2016,3/1/2018
TRUE,IN,94,408,402-1251,658,35,Male,Sr Managers,29/08/2016,29/08/2018
FALSE,WV,111,510,412-9997,777,30,Male,Sr Managers,2/5/2016,2/5/2018
FALSE,KY,74,415,346-7302,518,54,Female,Senior Professional,16/01/2017,16/01/2019
TRUE,NJ,128,415,358-9095,896,28,Female,student,4/1/2016,3/1/2018
FALSE,DC,82,510,400-9770,574,25,Female,Sr Managers,21/11/2016,21/11/2018
TRUE,LA,155,415,334-1275,1085,20,Female,student,29/06/2015,28/06/2017
FALSE,AR,80,415,340-4953,560,26,Male,Senior Professional,5/12/2016,5/12/2018
FALSE,ME,78,415,400-9510,546,34,Female,Senior Professional,19/12/2016,19/12/2018
FALSE,AZ,90,415,387-6103,630,69,Female,Retire,26/09/2016,26/09/2018
FALSE,AK,104,408,366-4467,728,56,Female,Senior Professional,20/06/2016,20/06/2018
FALSE,MT,73,415,370-3450,511,41,Female,Sr Managers,23/01/2017,23/01/2019
FALSE,AZ,99,415,327-3954,693,57,Female,Senior Professional,25/07/2016,25/07/2018
TRUE,MS,120,408,355-6291,840,38,Female,Retire,29/02/2016,28/02/2018
TRUE,ID,77,415,362-9748,539,63,Female,Retire,26/12/2016,26/12/2018
FALSE,IA,98,510,379-6506,686,65,Female,Retire,1/8/2016,1/8/2018
FALSE,MA,108,415,347-7741,756,40,Male,Sr Managers,23/05/2016,23/05/2018
FALSE,VT,135,415,354-3783,945,61,Male,Retire,16/11/2015,15/11/2017
FALSE,KY,95,408,401-7594,665,38,Male,Sr Managers,22/08/2016,22/08/2018
FALSE,IN,122,408,397-4976,854,64,Male,Retire,15/02/2016,14/02/2018
FALSE,AZ,95,408,334-2577,665,62,Male,Retire,22/08/2016,22/08/2018
FALSE,MI,36,510,400-3637,252,61,Female,Retire,9/10/2017,9/10/2019
FALSE,NM,93,510,383-4361,651,63,Male,Retire,5/9/2016,5/9/2018
FALSE,CO,141,415,371-4306,987,46,Male,Middle Management,5/10/2015,4/10/2017
FALSE,UT,157,408,403-4298,1099,54,Male,Senior Professional,15/06/2015,14/06/2017
FALSE,MI,120,408,409-3786,840,31,Male,student,29/02/2016,28/02/2018
FALSE,MA,103,415,337-4697,721,37,Male,Middle Management,27/06/2016,27/06/2018
FALSE,AL,98,408,383-1509,686,36,Male,Retire,1/8/2016,1/8/2018
FALSE,DE,125,408,359-9794,875,30,Male,Middle Management,25/01/2016,24/01/2018
FALSE,AZ,63,415,407-7035,441,33,Female,Senior Professional,3/4/2017,3/4/2019
TRUE,ME,36,510,363-1069,252,60,Male,Retire,9/10/2017,9/10/2019
FALSE,NJ,64,510,391-4652,448,56,Female,Senior Professional,27/03/2017,27/03/2019
TRUE,NV,74,415,355-6837,518,37,Male,Retire,16/01/2017,16/01/2019
FALSE,MO,112,510,409-1244,784,32,Female,Middle Management,25/04/2016,25/04/2018
FALSE,ID,97,408,328-3266,679,28,Female,Senior Professional,8/8/2016,8/8/2018
FALSE,NE,46,408,352-7072,322,54,Male,Senior Professional,31/07/2017,31/07/2019
FALSE,TX,41,408,370-7550,287,45,Male,Middle Management,4/9/2017,4/9/2019
FALSE,MD,121,510,369-5526,847,70,Female,Retire,22/02/2016,21/02/2018
FALSE,MS,193,415,329-4391,1351,41,Female,Sr Managers,6/10/2014,5/10/2016
FALSE,NV,130,510,408-4195,910,75,Female,Retire,21/12/2015,20/12/2017
FALSE,AZ,85,408,354-4445,595,42,Female,Sr Managers,31/10/2016,31/10/2018
TRUE,MS,162,415,335-4858,1134,38,Male,Retire,11/5/2015,10/5/2017
TRUE,MS,61,510,414-8718,427,53,Female,Senior Professional,17/04/2017,17/04/2019
FALSE,TX,92,408,409-5939,644,35,Male,Sr Managers,12/9/2016,12/9/2018
FALSE,NE,131,408,331-4902,917,40,Female,Sr Managers,14/12/2015,13/12/2017
FALSE,NE,90,415,353-6870,630,51,Female,Middle Management,26/09/2016,26/09/2018
FALSE,CA,75,408,355-2909,525,75,Female,Retire,9/1/2017,9/1/2019
FALSE,NJ,78,415,390-6101,546,74,Female,Retire,19/12/2016,19/12/2018
FALSE,TX,82,408,400-3446,574,57,Male,Senior Professional,21/11/2016,21/11/2018
FALSE,AR,163,408,411-5859,1141,67,Female,Retire,4/5/2015,3/5/2017
FALSE,AL,91,510,387-2919,637,63,Female,Retire,19/09/2016,19/09/2018
FALSE,NY,75,415,374-8525,525,45,Male,Middle Management,9/1/2017,9/1/2019
FALSE,FL,91,510,379-5592,637,32,Male,Sr Managers,19/09/2016,19/09/2018
FALSE,AK,127,510,345-8237,889,60,Male,Retire,11/1/2016,10/1/2018
FALSE,NV,113,415,422-6690,791,49,Male,Middle Management,18/04/2016,18/04/2018
FALSE,DE,110,510,346-2359,770,57,Male,Senior Professional,9/5/2016,9/5/2018
FALSE,MD,120,415,374-3534,840,67,Male,Retire,29/02/2016,28/02/2018
FALSE,MI,157,415,381-4756,1099,63,Male,Retire,15/06/2015,14/06/2017
FALSE,VT,103,510,390-2805,721,64,Female,Retire,27/06/2016,27/06/2018
TRUE,VT,117,408,390-2390,819,42,Male,Sr Managers,21/03/2016,21/03/2018
FALSE,MI,140,415,419-9097,980,54,Male,Senior Professional,12/10/2015,11/10/2017
FALSE,WA,127,408,386-7281,889,57,Male,Senior Professional,11/1/2016,10/1/2018
FALSE,UT,83,408,380-3561,581,42,Male,Sr Managers,14/11/2016,14/11/2018
FALSE,LA,121,408,390-8760,847,24,Male,Retire,22/02/2016,21/02/2018
FALSE,RI,145,408,366-6730,1015,55,Female,Senior Professional,7/9/2015,6/9/2017
FALSE,IA,113,408,395-5285,791,49,Female,Middle Management,18/04/2016,18/04/2018
FALSE,NE,117,415,354-3436,819,72,Female,Retire,21/03/2016,21/03/2018
FALSE,OH,65,408,336-7600,455,51,Male,Middle Management,20/03/2017,20/03/2019
FALSE,RI,56,415,383-6293,392,66,Male,Retire,22/05/2017,22/05/2019
FALSE,OK,96,415,362-4596,672,38,Female,Retire,15/08/2016,15/08/2018
FALSE,LA,151,408,401-3926,1057,19,Female,student,27/07/2015,26/07/2017
TRUE,OH,83,415,370-9116,581,31,Male,Sr Managers,14/11/2016,14/11/2018
FALSE,VA,139,510,328-6289,973,59,Female,Senior Professional,19/10/2015,18/10/2017
FALSE,MO,6,510,350-9994,42,59,Male,Senior Professional,7/5/2018,6/5/2020
FALSE,FL,115,510,351-4616,805,56,Female,Senior Professional,4/4/2016,4/4/2018
FALSE,SC,87,415,360-5779,609,65,Male,Retire,17/10/2016,17/10/2018
FALSE,VA,141,415,417-4885,987,60,Female,Retire,5/10/2015,4/10/2017
FALSE,IA,141,510,406-4710,987,38,Female,Sr Managers,5/10/2015,4/10/2017
FALSE,MI,62,415,409-8743,434,62,Male,Retire,10/4/2017,10/4/2019
FALSE,OK,146,415,335-4584,1022,22,Male,student,31/08/2015,30/08/2017
FALSE,DE,92,415,361-9845,644,36,Male,Sr Managers,12/9/2016,12/9/2018
FALSE,GA,185,510,366-5699,1295,54,Male,Senior Professional,1/12/2014,30/11/2016
FALSE,DC,148,415,329-9364,1036,21,Male,student,17/08/2015,16/08/2017
FALSE,AZ,94,408,390-7434,658,47,Female,Middle Management,29/08/2016,29/08/2018
FALSE,AL,32,510,404-9680,224,19,Female,student,6/11/2017,6/11/2019
FALSE,CO,68,408,338-9398,476,30,Male,student,27/02/2017,27/02/2019
FALSE,NH,64,408,394-2445,448,58,Female,Senior Professional,27/03/2017,27/03/2019
FALSE,NM,25,415,381-2709,175,75,Male,Retire,25/12/2017,25/12/2019
FALSE,OR,65,415,397-5060,455,29,Female,Sr Managers,20/03/2017,20/03/2019
FALSE,LA,179,408,415-2393,1253,23,Female,Retire,12/1/2015,11/1/2017
FALSE,NE,94,415,377-1765,658,71,Male,Retire,29/08/2016,29/08/2018
FALSE,MN,62,415,409-2111,434,73,Male,Retire,10/4/2017,10/4/2019
FALSE,MI,127,415,401-3170,889,40,Female,Sr Managers,11/1/2016,10/1/2018
FALSE,AR,116,408,405-5681,812,28,Male,Middle Management,28/03/2016,28/03/2018
FALSE,KS,70,408,411-4582,490,59,Female,Senior Professional,13/02/2017,13/02/2019
FALSE,WV,94,510,355-5009,658,32,Male,Retire,29/08/2016,29/08/2018
TRUE,AK,126,415,372-3750,882,52,Female,Senior Professional,18/01/2016,17/01/2018
FALSE,NY,67,408,405-2888,469,70,Male,Retire,6/3/2017,6/3/2019
FALSE,NH,19,408,361-3337,133,44,Male,Sr Managers,5/2/2018,5/2/2020
FALSE,VA,170,510,350-1639,1190,67,Male,Retire,16/03/2015,15/03/2017
FALSE,NM,73,415,333-3221,511,58,Male,Senior Professional,23/01/2017,23/01/2019
FALSE,NY,106,408,422-1471,742,22,Male,student,6/6/2016,6/6/2018
FALSE,AZ,93,415,399-7865,651,47,Male,Middle Management,5/9/2016,5/9/2018
FALSE,WY,164,510,373-4819,1148,60,Male,Retire,27/04/2015,26/04/2017
FALSE,WA,51,408,338-6981,357,58,Female,Senior Professional,26/06/2017,26/06/2019
FALSE,CO,107,415,418-4365,749,55,Male,Senior Professional,30/05/2016,30/05/2018
FALSE,TX,130,415,359-5461,910,73,Female,Retire,21/12/2015,20/12/2017
FALSE,KY,80,408,375-3586,560,68,Female,Retire,5/12/2016,5/12/2018
FALSE,MT,94,415,407-8376,658,22,Male,student,29/08/2016,29/08/2018
FALSE,OK,118,408,408-6496,826,27,Female,Middle Management,14/03/2016,14/03/2018
FALSE,MD,117,415,385-7688,819,62,Male,Retire,21/03/2016,21/03/2018
FALSE,TN,78,415,332-6934,546,39,Female,Middle Management,19/12/2016,19/12/2018
TRUE,TX,208,510,378-3625,1456,20,Male,student,23/06/2014,22/06/2016
TRUE,ME,131,510,353-7292,917,41,Female,Sr Managers,14/12/2015,13/12/2017
FALSE,DC,63,408,399-6786,441,51,Female,Middle Management,3/4/2017,3/4/2019
FALSE,MN,53,415,358-3261,371,56,Male,Senior Professional,12/6/2017,12/6/2019
FALSE,DE,62,408,377-9932,434,28,Male,Middle Management,10/4/2017,10/4/2019
FALSE,MD,97,415,397-4030,679,38,Male,Senior Professional,8/8/2016,8/8/2018
FALSE,MI,105,510,367-1062,735,38,Female,Retire,13/06/2016,13/06/2018
FALSE,WA,157,415,341-8467,1099,26,Female,Retire,15/06/2015,14/06/2017
FALSE,MO,66,415,339-9453,462,63,Female,Retire,13/03/2017,13/03/2019
FALSE,IN,122,415,344-3388,854,54,Female,Senior Professional,15/02/2016,14/02/2018
FALSE,OR,38,415,375-8013,266,22,Female,student,25/09/2017,25/09/2019
FALSE,MD,106,510,408-4142,742,66,Female,Retire,6/6/2016,6/6/2018
FALSE,RI,99,510,386-3671,693,60,Male,Retire,25/07/2016,25/07/2018
FALSE,LA,99,415,411-2284,693,61,Female,Retire,25/07/2016,25/07/2018
FALSE,AZ,144,510,346-7795,1008,19,Male,student,14/09/2015,13/09/2017
FALSE,PA,82,415,333-5609,574,50,Female,Middle Management,21/11/2016,21/11/2018
FALSE,AZ,86,408,405-1842,602,49,Male,Middle Management,24/10/2016,24/10/2018
TRUE,FL,70,510,366-6345,490,67,Male,Retire,13/02/2017,13/02/2019
FALSE,LA,93,415,337-9345,651,70,Male,Retire,5/9/2016,5/9/2018
FALSE,FL,93,415,328-6770,651,56,Male,Senior Professional,5/9/2016,5/9/2018
FALSE,FL,120,415,380-7321,840,56,Female,Senior Professional,29/02/2016,28/02/2018
TRUE,MD,136,415,375-1476,952,62,Male,Retire,9/11/2015,8/11/2017
FALSE,AL,106,415,356-1567,742,48,Female,Middle Management,6/6/2016,6/6/2018
FALSE,WA,81,415,422-6685,567,68,Male,Retire,28/11/2016,28/11/2018
FALSE,TN,127,408,336-1090,889,58,Male,Senior Professional,11/1/2016,10/1/2018
FALSE,MS,65,415,343-2095,455,44,Male,Sr Managers,20/03/2017,20/03/2019
FALSE,ME,35,408,345-3934,245,49,Female,Middle Management,16/10/2017,16/10/2019
FALSE,OK,88,408,338-8050,616,62,Female,Retire,10/10/2016,10/10/2018
FALSE,IN,65,415,388-9568,455,58,Male,Senior Professional,20/03/2017,20/03/2019
FALSE,MO,123,415,402-6591,861,27,Male,Senior Professional,8/2/2016,7/2/2018
FALSE,IA,126,408,403-6419,882,20,Female,student,18/01/2016,17/01/2018
FALSE,VA,104,415,386-9790,728,18,Male,student,20/06/2016,20/06/2018
FALSE,KY,45,415,378-5692,315,65,Male,Retire,7/8/2017,7/8/2019
TRUE,MD,93,408,360-3324,651,41,Male,Sr Managers,5/9/2016,5/9/2018
FALSE,OH,63,415,410-3719,441,53,Male,Senior Professional,3/4/2017,3/4/2019
FALSE,OK,100,415,352-4221,700,39,Male,Middle Management,18/07/2016,18/07/2018
FALSE,NV,53,415,327-6179,371,59,Female,Senior Professional,12/6/2017,12/6/2019
FALSE,ID,92,415,359-6196,644,52,Female,Senior Professional,12/9/2016,12/9/2018
TRUE,MN,139,510,374-9107,973,61,Male,Retire,19/10/2015,18/10/2017
FALSE,SD,110,408,357-4078,770,72,Male,Retire,9/5/2016,9/5/2018
FALSE,IL,110,408,366-5780,770,31,Female,Retire,9/5/2016,9/5/2018
FALSE,WY,215,510,393-9619,1505,62,Male,Retire,5/5/2014,4/5/2016
FALSE,AL,73,415,355-9295,511,53,Male,Senior Professional,23/01/2017,23/01/2019
FALSE,NJ,138,510,400-5751,966,72,Male,Retire,26/10/2015,25/10/2017
TRUE,NV,137,415,338-1027,959,19,Female,student,2/11/2015,1/11/2017
FALSE,IN,36,415,405-8867,252,60,Male,Retire,9/10/2017,9/10/2019
FALSE,WV,85,408,336-5616,595,71,Male,Retire,31/10/2016,31/10/2018
TRUE,VA,108,408,335-1697,756,67,Male,Retire,23/05/2016,23/05/2018
FALSE,SC,22,408,331-5138,154,74,Male,Retire,15/01/2018,15/01/2020
FALSE,RI,107,415,385-8240,749,49,Male,Middle Management,30/05/2016,30/05/2018
FALSE,IN,51,510,348-1359,357,49,Male,Middle Management,26/06/2017,26/06/2019
FALSE,AZ,94,408,354-7339,658,28,Male,Sr Managers,29/08/2016,29/08/2018
FALSE,NM,119,510,349-1687,833,31,Male,Senior Professional,7/3/2016,7/3/2018
TRUE,OR,33,415,380-2558,231,31,Male,Retire,30/10/2017,30/10/2019
FALSE,NJ,106,415,365-2153,742,56,Female,Senior Professional,6/6/2016,6/6/2018
FALSE,MS,82,408,345-6043,574,23,Male,Sr Managers,21/11/2016,21/11/2018
FALSE,MI,86,510,349-2808,602,26,Male,Sr Managers,24/10/2016,24/10/2018
FALSE,TX,97,415,411-1715,679,55,Male,Senior Professional,8/8/2016,8/8/2018
FALSE,FL,106,408,385-2488,742,59,Female,Senior Professional,6/6/2016,6/6/2018
FALSE,DC,108,510,377-7177,756,36,Male,Retire,23/05/2016,23/05/2018
FALSE,TX,114,415,342-1099,798,53,Male,Senior Professional,11/4/2016,11/4/2018
TRUE,KS,92,408,386-4170,644,65,Male,Retire,12/9/2016,12/9/2018
FALSE,UT,59,510,413-1269,413,32,Male,Sr Managers,1/5/2017,1/5/2019
FALSE,MN,24,510,396-4460,168,62,Female,Retire,1/1/2018,1/1/2020
FALSE,IL,151,408,334-2730,1057,43,Male,Sr Managers,27/07/2015,26/07/2017
FALSE,NM,117,415,340-3182,819,29,Female,Middle Management,21/03/2016,21/03/2018
FALSE,SC,78,510,377-8608,546,37,Female,Sr Managers,19/12/2016,19/12/2018
FALSE,NC,155,408,417-3676,1085,66,Female,Retire,29/06/2015,28/06/2017
FALSE,WV,114,510,417-6774,798,54,Male,Senior Professional,11/4/2016,11/4/2018
FALSE,RI,114,510,411-9554,798,54,Male,Senior Professional,11/4/2016,11/4/2018
FALSE,NH,119,408,420-3192,833,57,Female,Senior Professional,7/3/2016,7/3/2018
FALSE,MO,64,510,389-1475,448,74,Female,Retire,27/03/2017,27/03/2019
FALSE,MA,118,408,343-7734,826,65,Female,Retire,14/03/2016,14/03/2018
FALSE,PA,101,415,410-3390,707,36,Male,Middle Management,11/7/2016,11/7/2018
FALSE,OK,117,415,344-6495,819,55,Male,Senior Professional,21/03/2016,21/03/2018
FALSE,AL,49,415,331-6229,343,67,Male,Retire,10/7/2017,10/7/2019
FALSE,WY,139,415,337-7501,973,30,Female,student,19/10/2015,18/10/2017
FALSE,PA,92,408,339-9631,644,21,Male,student,12/9/2016,12/9/2018
FALSE,WA,83,415,369-4384,581,66,Male,Retire,14/11/2016,14/11/2018
FALSE,HI,148,510,416-3915,1036,52,Male,Senior Professional,17/08/2015,16/08/2017
TRUE,SD,144,408,339-3049,1008,57,Male,Senior Professional,14/09/2015,13/09/2017
FALSE,AL,131,415,361-7998,917,26,Male,Retire,14/12/2015,13/12/2017
FALSE,VT,146,510,355-4842,1022,42,Male,Sr Managers,31/08/2015,30/08/2017
FALSE,MT,143,415,387-6440,1001,64,Male,Retire,21/09/2015,20/09/2017
FALSE,MN,81,415,369-2625,567,71,Male,Retire,28/11/2016,28/11/2018
FALSE,AK,48,415,389-7073,336,37,Male,Senior Professional,17/07/2017,17/07/2019
FALSE,MI,86,415,370-8463,602,58,Female,Senior Professional,24/10/2016,24/10/2018
FALSE,DE,71,415,362-7318,497,71,Male,Retire,6/2/2017,6/2/2019
FALSE,SD,145,408,412-1194,1015,26,Male,Sr Managers,7/9/2015,6/9/2017
FALSE,MI,137,510,355-9508,959,52,Male,Senior Professional,2/11/2015,1/11/2017
FALSE,KS,137,408,352-8202,959,64,Male,Retire,2/11/2015,1/11/2017
FALSE,AL,167,510,335-5882,1169,49,Female,Middle Management,6/4/2015,5/4/2017
TRUE,OK,89,510,352-6976,623,41,Female,Sr Managers,3/10/2016,3/10/2018
FALSE,CT,199,415,393-6733,1393,21,Female,student,25/08/2014,24/08/2016
FALSE,NE,132,510,335-1838,924,32,Female,student,7/12/2015,6/12/2017
FALSE,WI,94,510,355-6930,658,32,Male,student,29/08/2016,29/08/2018
TRUE,CT,96,415,387-5860,672,64,Male,Retire,15/08/2016,15/08/2018
FALSE,WI,96,510,343-2605,672,44,Male,Sr Managers,15/08/2016,15/08/2018
FALSE,IN,166,510,350-6759,1162,75,Male,Retire,13/04/2015,12/4/2017
FALSE,DC,74,415,371-1514,518,25,Male,Middle Management,16/01/2017,16/01/2019
FALSE,AR,36,415,346-9317,252,26,Female,student,9/10/2017,9/10/2019
FALSE,ME,113,415,398-4313,791,49,Female,Middle Management,18/04/2016,18/04/2018
FALSE,MN,94,415,412-4399,658,40,Female,Sr Managers,29/08/2016,29/08/2018
FALSE,MD,67,415,330-1835,469,26,Female,Senior Professional,6/3/2017,6/3/2019
TRUE,FL,127,415,416-1676,889,27,Male,Retire,11/1/2016,10/1/2018
TRUE,RI,121,408,329-7347,847,29,Male,Sr Managers,22/02/2016,21/02/2018
FALSE,IA,158,415,360-6868,1106,27,Male,Sr Managers,8/6/2015,7/6/2017
FALSE,AZ,136,510,405-6641,952,37,Male,Sr Managers,9/11/2015,8/11/2017
FALSE,MO,196,415,393-2373,1372,21,Female,student,15/09/2014,14/09/2016
TRUE,VT,113,415,419-1714,791,67,Female,Retire,18/04/2016,18/04/2018
TRUE,IN,122,408,336-3819,854,66,Male,Retire,15/02/2016,14/02/2018
FALSE,RI,112,510,341-3464,784,63,Female,Retire,25/04/2016,25/04/2018
FALSE,SD,209,415,413-5310,1463,31,Male,student,16/06/2014,15/06/2016
TRUE,MN,62,415,366-7912,434,40,Male,Sr Managers,10/4/2017,10/4/2019
FALSE,TX,110,415,399-8845,770,61,Female,Retire,9/5/2016,9/5/2018
FALSE,VA,16,510,368-2583,112,19,Male,student,26/02/2018,26/02/2020
FALSE,MA,73,408,360-6309,511,55,Female,Senior Professional,23/01/2017,23/01/2019
FALSE,ID,128,408,359-5890,896,35,Female,Sr Managers,4/1/2016,3/1/2018
FALSE,MA,39,408,332-2462,273,24,Male,Sr Managers,18/09/2017,18/09/2019
FALSE,GA,103,415,381-9196,721,37,Male,student,27/06/2016,27/06/2018
FALSE,RI,119,415,329-3222,833,54,Female,Senior Professional,7/3/2016,7/3/2018
FALSE,ID,173,510,363-5819,1211,47,Female,Middle Management,23/02/2015,22/02/2017
TRUE,SD,128,510,413-9269,896,69,Female,Retire,4/1/2016,3/1/2018
