international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,phone number
no,no,0.017,0.016,0,211.3,120,162.6,122,134.7,118,13.2,5,363-5450
no,no,0.016,0.005,0,187,133,134.6,74,242.2,127,7.4,5,364-1995
no,no,0.066,0.021,0,159.1,114,231.3,117,143.2,91,8.8,3,398-1294
no,yes,0.014,0.011,24,133.2,135,217.2,58,70.6,79,11,3,405-7146
no,no,0.001,0.009,0,191.9,108,269.8,96,236.8,87,7.8,5,413-4957
no,no,0.009,0.014,0,220.6,57,211.1,115,249,129,6.8,3,420-5645
no,no,0.017,0.006,0,186.1,112,190.2,66,282.8,57,11.4,6,349-4396
no,no,0.002,0.005,0,160.2,117,267.5,67,228.5,68,9.3,5,404-3211
no,no,0.057,0.025,0,151,83,219.7,116,203.9,127,9.7,3,353-3759
no,no,0.014,0.004,0,175.5,67,249.3,85,270.2,98,10.2,3,363-5947
no,no,0.006,0.011,0,126.9,98,180,62,140.8,128,8,2,340-5121
no,yes,0.015,0.035,30,198.4,129,75.3,77,181.2,77,5.8,3,370-7574
no,no,0.02,0.013,0,148.8,70,246.5,164,129.8,103,12.1,3,403-9733
no,no,0.012,0.011,0,229.3,103,177.4,126,189.3,95,12,8,355-7251
no,no,0.02,0.003,0,192.1,97,169.9,94,166.6,54,11.4,4,359-5893
no,yes,0.016,0.005,34,268.6,83,178.2,142,166.3,106,11.6,3,405-3371
no,yes,0.01,0,33,193.7,91,246.1,96,138,92,14.6,3,344-5117
no,yes,0.011,0.013,28,180.7,92,187.8,64,265.5,53,12.6,3,332-8160
no,no,0.016,0.001,0,131.2,98,162.9,97,159,106,8.2,6,359-4081
no,yes,0.011,0.004,41,148.1,74,169.5,88,214.1,102,6.2,5,352-8305
yes,no,0.008,0.012,0,251.5,105,212.8,104,157.8,67,9.3,4,329-9847
yes,no,0.009,0.001,0,125.2,93,206.4,119,129.3,139,8.3,8,365-9011
no,no,0.013,0.003,0,211.6,70,216.9,80,153.5,60,7.8,1,338-9472
no,no,0.053,0.017,0,178.9,101,169.1,110,148.6,100,13.8,3,374-8042
no,no,0.01,0.013,0,241.8,93,170.5,83,295.3,104,11.8,7,359-1231
no,yes,0.02,0.01,46,224.9,97,188.2,84,254.6,61,12.1,2,413-7170
no,no,0.002,0.003,0,248.6,83,148.9,85,172.5,109,8,4,415-2935
no,no,0.006,0.003,0,203.4,146,226.7,117,152.4,105,7.3,4,399-4246
no,no,0.011,0.005,0,235.8,109,157.2,94,188.2,99,12,3,362-5889
no,no,0.02,0.002,0,157.1,90,223.3,72,181.4,111,6.1,2,350-8921
no,no,0.01,0.012,0,300.3,109,181,100,270.1,73,11.7,4,374-5353
no,no,0.031,0.011,0,61.6,117,77.1,85,173,99,8.2,7,360-1171
no,no,0.012,0.016,0,214.1,72,164.4,104,177.5,113,8.2,3,355-8887
no,no,0.001,0.009,0,170.2,98,155.2,102,228.6,76,15,2,333-1967
no,no,0.01,0.011,0,201.1,99,303.5,74,224,119,13.2,2,354-4577
yes,no,0.018,0.005,0,215.4,104,204.8,79,278.5,109,12.6,5,331-7425
no,yes,0.009,0.001,25,165.6,123,136.1,95,175.7,90,11,2,419-2637
no,yes,0.007,0.013,24,249.5,101,259.7,98,222.7,68,9.8,4,411-1530
no,no,0.033,0.021,0,210.6,96,249.2,85,191.4,88,12.4,1,395-3026
no,yes,0.02,0,29,179.3,104,225.9,86,323,78,8.6,7,388-6441
no,no,0.02,0.024,0,157.9,105,155,101,189.6,84,8,5,402-1251
no,no,0.004,0.01,0,214.3,118,208.5,76,182.4,98,12,2,412-9997
no,yes,0.017,0.012,35,154.1,104,123.4,84,202.1,57,10.9,9,346-7302
no,no,0.061,0.018,0,237.9,125,247.6,93,208.9,68,13.9,4,358-9095
no,no,0.01,0.004,0,143.9,61,194.9,105,109.6,94,11.1,2,400-9770
no,no,0.003,0.023,0,203.4,100,190.9,104,196,119,8.9,4,334-1275
no,no,0.007,0,0,124.3,100,173,107,253.2,62,7.9,9,340-4953
no,no,0.014,0.005,0,252.9,93,178.4,112,263.9,105,9.5,7,400-9510
no,no,0.011,0.003,0,179.1,71,190.6,81,127.7,91,10.6,7,387-6103
no,no,0.007,0.008,0,278.4,106,81,113,163.2,137,9.8,5,366-4467
no,no,0.008,0.004,0,160.1,110,213.3,72,174.1,72,13,4,370-3450
no,no,0.016,0.016,0,198.2,87,207.3,76,190.9,113,8.7,3,327-3954
no,no,0.02,0.018,0,212.1,131,209.4,104,167.2,96,5.3,5,355-6291
no,no,0.038,0.036,0,251.8,72,205.7,126,275.2,109,9.8,7,362-9748
no,yes,0.018,0.004,21,161.2,114,252.2,83,160.2,92,4.4,8,379-6506
no,no,0,0.007,0,178.3,137,189,76,129.1,102,14.6,5,347-7741
no,no,0.006,0.01,0,151.7,82,119,105,180,100,10.5,6,354-3783
no,no,0.007,0,0,135,99,183.6,106,245.3,102,12.5,9,401-7594
no,no,0.005,0.003,0,170.5,94,173.7,109,248.6,75,11.3,2,397-4976
no,no,0.009,0.008,0,238.1,65,187.2,98,190,115,11.8,4,334-2577
no,yes,0.018,0.002,29,281.4,102,202.2,76,187.2,113,9,6,400-3637
no,yes,0.003,0.007,21,117.9,131,164.5,115,217,86,9.8,3,383-4361
no,yes,0,0.016,32,148.6,91,131.1,97,219.4,142,10.1,1,371-4306
no,no,0.012,0.003,0,229.8,90,147.9,121,241.4,108,9.6,7,403-4298
no,no,0.018,0.007,0,165,100,317.2,83,119.2,86,8.3,8,409-3786
no,no,0.014,0.006,0,185,117,223.3,94,222.8,91,12.6,2,337-4697
no,no,0.017,0.005,0,161,117,190.9,113,227.7,113,12.1,4,383-1509
no,no,0.015,0.001,0,126.7,108,206,90,247.8,114,13.3,7,359-9794
no,no,0.018,0.005,0,58.9,125,169.6,59,211.4,88,9.4,3,407-7035
yes,yes,0.051,0.015,42,196.8,89,254.9,122,138.3,126,20,6,363-1069
no,no,0.013,0.014,0,162.6,83,152.3,109,57.5,122,14.2,3,391-4652
no,no,0.016,0.015,0,282.5,114,219.9,48,170,115,9.4,4,355-6837
no,yes,0.014,0.008,36,113.7,117,157.5,82,177.6,118,10,3,409-1244
no,no,0.007,0.015,0,239.8,125,214.8,111,143.3,81,8.7,5,328-3266
no,no,0.001,0.001,0,210.2,92,227.3,77,200.1,116,13.1,7,352-7072
no,yes,0.017,0.01,22,213.8,102,141.8,86,142.2,123,7.2,3,370-7550
no,no,0.012,0.008,0,190.7,103,183.5,117,220.8,103,9.8,4,369-5526
no,no,0.013,0.013,0,170.9,124,132.3,95,112.9,89,11.6,3,329-4391
no,no,0.013,0.014,0,154.2,119,110.2,98,227.4,117,9.2,5,408-4195
no,no,0.007,0.007,0,201.4,52,229.4,104,252.5,106,12,3,354-4445
no,no,0.036,0.023,0,70.7,108,157.5,87,154.8,82,9.1,3,335-4858
no,yes,0.052,0.035,27,187.5,124,146.6,103,225.7,129,6.4,6,414-8718
no,no,0,0.015,0,91.7,90,193.7,123,175,86,9.2,4,409-5939
no,yes,0.014,0.012,36,214.2,115,161.7,117,264.7,102,9.5,4,331-4902
no,no,0.017,0.011,0,145.5,92,217.7,114,146.9,123,10.9,2,353-6870
no,no,0.002,0.013,0,166.3,125,158.2,86,256.7,80,6.1,5,355-2909
no,no,0.018,0.003,0,231,115,230.4,140,261.4,120,9.5,3,390-6101
no,no,0.002,0.011,0,200.3,96,201.2,102,206.1,60,7.1,1,400-3446
no,no,0,0.006,0,197,109,202.6,128,206.4,80,9.1,10,411-5859
yes,no,0.001,0.002,0,129.9,112,173.3,83,247.2,130,11.2,3,387-2919
no,yes,0.02,0.002,21,175.8,97,217.5,106,237.5,134,5.3,4,374-8525
no,no,0.012,0.014,0,203.1,106,210.1,113,195.6,129,12,3,379-5592
no,yes,0.018,0.013,36,183.2,117,126.8,76,263.3,71,11.2,8,345-8237
no,yes,0.005,0.01,23,205,101,152,60,158.6,59,10.2,5,422-6690
no,no,0.014,0.011,0,148.5,115,276.4,84,193.6,112,12.4,3,346-2359
no,yes,0.008,0.007,39,200.3,68,220.4,97,253.8,116,10.5,4,374-3534
no,yes,0.016,0.002,28,192.6,107,195.5,74,109.7,139,6.8,5,381-4756
no,no,0.01,0.014,0,246.5,47,195.5,84,200.5,96,11.7,4,390-2805
yes,no,0.064,0.019,0,167.1,86,177.5,87,249.4,132,14.1,7,390-2390
no,no,0.002,0.008,0,231.9,101,160.1,94,110.4,98,14.3,6,419-9097
no,no,0.012,0.007,0,146.7,91,203.5,78,203.4,110,13.7,3,386-7281
yes,no,0.012,0.005,0,271.5,87,216.3,126,121.1,105,11.7,4,380-3561
no,no,0.01,0,0,181.5,121,218.4,98,161.6,103,8.5,5,390-8760
no,yes,0.002,0.014,43,257.7,97,162.1,95,286.9,86,11.1,4,366-6730
no,no,0.003,0.002,0,193.8,99,221.4,125,172.3,67,10.6,6,395-5285
no,no,0.007,0.012,0,102.8,119,206.7,91,299,105,10.1,7,354-3436
no,no,0.009,0.001,0,187.9,116,157.6,117,227.3,86,7.5,6,336-7600
no,no,0.012,0.013,0,226,112,248.5,118,140.5,142,6.9,11,383-6293
no,no,0.014,0.009,0,260.4,115,146,46,269.5,87,11.5,4,362-4596
no,no,0.001,0.008,0,178.7,116,292.1,138,265.9,101,9.8,4,401-3926
no,no,0.053,0.015,0,337.4,120,227.4,116,153.9,114,15.8,7,370-9116
no,yes,0.004,0.01,23,157.6,129,247,96,259.2,112,13.7,2,328-6289
no,no,0.005,0.001,0,183.6,117,256.7,72,178.6,79,10.2,2,350-9994
no,yes,0.006,0.013,24,142.1,124,183.4,129,164.8,114,9.6,4,351-4616
no,no,0.004,0.014,0,136.3,97,172.2,108,137.5,101,7.1,5,360-5779
no,no,0.013,0.003,0,217.1,110,241.5,111,253.5,103,12,6,417-4885
no,yes,0.01,0.006,36,187.5,99,241.4,116,229.5,105,10.5,5,406-4710
no,no,0.018,0.004,0,98.9,103,135.4,122,236.6,82,12.2,1,409-8743
no,no,0.002,0.006,0,206.3,151,148.6,89,167.2,91,6.1,3,335-4584
no,yes,0.001,0.015,33,243.1,92,213.8,92,228.7,104,12.1,2,361-9845
no,yes,0.016,0.009,31,189.8,126,163.3,133,264.8,126,7.5,3,366-5699
no,no,0.003,0.013,0,202,102,243.2,128,261.3,90,10.9,3,329-9364
no,yes,0.001,0.01,38,170.1,124,193.3,116,105.9,73,12.8,4,390-7434
no,no,0.015,0.01,0,230.9,87,187.4,90,154,53,6.3,2,404-9680
no,no,0.004,0.008,0,237.1,105,223.5,105,97.4,79,13.2,2,338-9398
no,yes,0.009,0,27,182.1,91,169.7,98,164.7,86,10.6,5,394-2445
no,no,0.017,0.011,0,119.3,87,211.5,101,268.9,86,10.5,4,381-2709
no,no,0.003,0.001,0,116.8,87,178.9,93,182.4,150,14.1,2,397-5060
no,no,0.015,0.015,0,219.2,92,149.4,125,244.7,104,6.1,5,415-2393
no,no,0.015,0.007,0,252.6,104,169,125,170.9,106,11.1,7,377-1765
no,no,0.019,0.006,0,147.1,91,190.4,107,195.2,115,12.2,3,409-2111
no,no,0,0.003,0,202.1,103,229.4,86,195.2,113,11.5,3,401-3170
no,no,0,0.009,0,173.5,93,194.1,76,208,112,16.2,10,405-5681
no,no,0,0.016,0,232.1,122,292.3,112,201.2,112,0,0,411-4582
yes,yes,0.013,0.001,23,197.1,125,214.5,136,282.2,103,9.5,5,355-5009
no,no,0.028,0.037,0,58.2,94,138.7,118,136.8,91,11.9,1,372-3750
no,yes,0.015,0.015,36,115.6,111,237.7,94,169.9,103,9.9,12,405-2888
no,no,0.008,0.013,0,186.1,98,254.3,57,214,127,14.6,7,361-3337
yes,no,0.017,0.008,0,259.9,68,245,122,134.4,121,8.4,3,350-1639
no,no,0.01,0.015,0,214.3,145,268.5,135,241.2,92,10.8,13,333-3221
no,no,0.02,0.009,0,158.7,74,64.3,139,198.5,103,10.2,4,422-1471
no,no,0.006,0.005,0,271.6,71,229.4,108,77.3,121,10.9,3,399-7865
no,no,0.006,0.014,0,160.6,111,163.2,126,187.1,112,9,3,373-4819
no,no,0.005,0,0,232.4,109,187.4,95,231.2,107,9.1,3,338-6981
no,no,0.018,0.005,0,133.8,85,180.5,94,112.2,115,8.9,4,418-4365
no,no,0.02,0.01,0,176.9,109,90.7,104,238,69,9.5,2,359-5461
no,no,0.006,0.008,0,209.9,74,195.1,77,208.2,119,8.8,4,375-3586
no,no,0.013,0.01,0,137.5,118,203.2,88,150,131,13.4,2,407-8376
no,yes,0.007,0.003,23,289.5,52,166.6,111,119.1,88,9.5,4,408-6496
no,yes,0.003,0.005,23,198.1,86,177,86,180.5,92,6.8,6,385-7688
no,no,0,0.001,0,149.7,119,182.2,115,261.5,126,9.7,8,332-6934
no,no,0.061,0.026,0,326.5,67,176.3,113,181.7,102,10.7,6,378-3625
yes,yes,0.041,0.01,26,292.9,101,199.7,97,255.3,127,13.8,7,353-7292
no,no,0.008,0.012,0,83,64,177,106,245.7,89,13,3,399-6786
no,yes,0.014,0.013,24,145.7,146,220.5,136,249.9,96,13.1,5,358-3261
no,no,0.002,0.003,0,182.3,101,328.2,93,245,131,11.2,1,377-9932
no,no,0.005,0.01,0,218,86,184,94,240.5,110,6.4,8,397-4030
no,no,0.007,0.01,0,140.6,109,178.6,51,217,83,6.8,3,367-1062
no,no,0.01,0.001,0,152.7,105,257.5,80,198.1,93,9.4,4,341-8467
no,yes,0.018,0.009,36,106.7,76,209.8,77,190.4,117,12.1,2,339-9453
no,no,0.015,0.011,0,243.8,98,83.9,72,179.8,84,13.7,8,344-3388
no,no,0.01,0.015,0,194.4,94,186.7,95,223.3,90,10.8,5,375-8013
no,no,0.018,0.015,0,213.9,95,151.9,70,260.1,124,12.2,5,408-4142
no,no,0.004,0.008,0,217.2,112,246.7,89,226.1,89,15.8,7,386-3671
no,no,0.005,0.003,0,241.1,72,155.6,98,188.2,109,11.6,10,411-2284
yes,no,0.002,0.015,0,203.5,100,247.6,103,194.3,94,11.9,11,346-7795
no,yes,0.008,0.014,24,155.2,131,244.5,106,122.4,68,10.7,3,333-5609
no,yes,0.02,0.006,31,167.6,139,113,118,246.9,121,12.2,6,405-1842
yes,no,0.041,0.027,0,226.7,98,228.1,115,73.2,93,17.6,4,366-6345
no,no,0.001,0.016,0,179.3,93,178.6,98,225.2,131,11.5,6,337-9345
no,no,0.019,0.005,0,151.4,89,186.4,76,172.5,120,10.9,3,328-6770
no,no,0.018,0.005,0,180,80,224.2,82,265.4,91,4.7,7,380-7321
no,no,0.024,0.018,0,250.2,121,267.1,118,151,114,13,2,375-1476
no,no,0.014,0.008,0,223,121,110.1,98,188.7,107,7.1,12,356-1567
no,no,0.011,0.015,0,183.6,116,152.6,98,212.2,99,12.2,6,422-6685
no,yes,0.016,0.008,22,166,114,174.5,103,244.9,68,10.2,6,336-1090
no,no,0.004,0,0,136.1,112,272.9,96,220.2,104,4.4,2,343-2095
no,no,0.006,0.004,0,149.3,113,242.2,122,174.3,104,8.9,6,345-3934
no,no,0.006,0.001,0,65.4,97,168.2,76,236,113,13.8,1,338-8050
no,no,0.01,0.014,0,213.4,111,234.5,94,250.1,123,2.7,4,388-9568
no,no,0.003,0.009,0,206.9,85,244.7,78,221.5,136,7.7,2,402-6591
no,yes,0.013,0.003,27,186.2,78,189.6,83,76.5,139,9.6,3,403-6419
no,yes,0.004,0.003,23,280.2,136,220.5,92,136.9,102,13.3,3,386-9790
no,yes,0.001,0.016,22,196.6,84,313.2,92,163.3,108,11.9,3,378-5692
yes,no,0.009,0.031,0,312,109,129.4,100,217.6,74,10.5,2,360-3324
yes,yes,0.004,0.002,36,199,110,291.3,111,197.6,92,11,6,410-3719
no,no,0.005,0.016,0,203.1,96,217,126,180.9,122,13.5,2,352-4221
no,no,0.014,0.004,0,168.8,97,220.3,87,154.3,113,10.9,2,327-6179
yes,no,0.001,0.014,0,173.1,140,240.3,105,233.2,117,9,5,359-6196
no,no,0.034,0.021,0,134.4,106,211.3,98,193.6,125,10.2,2,374-9107
no,yes,0.018,0.013,40,202.6,103,118.8,128,234.9,98,9,9,357-4078
no,no,0.015,0.008,0,74.5,117,200.8,98,192.2,101,9.8,7,366-5780
no,no,0,0.012,0,83.6,148,120.9,91,226.6,110,10.7,9,393-9619
no,no,0.013,0.01,0,192.2,86,168.6,116,139.8,87,9.4,6,355-9295
no,no,0.017,0.008,0,220.2,89,88.3,125,195.3,79,12.9,5,400-5751
yes,no,0.048,0.032,0,135.1,95,134.1,102,223.1,81,12.3,2,338-1027
no,no,0.012,0.004,0,253.4,77,182.4,151,275.8,103,8.4,2,405-8867
no,no,0.007,0.01,0,225,81,176.9,63,194.3,110,7.1,2,336-5616
no,no,0.063,0.025,0,198.5,99,267.8,60,354.9,75,9.4,3,335-1697
no,no,0.02,0.006,0,110.3,107,166.5,93,202.3,96,9.5,5,331-5138
no,yes,0.015,0.012,37,60,102,102.2,80,261.8,106,11.1,3,385-8240
no,no,0.001,0.002,0,214.8,94,149.7,58,283.4,66,10.2,5,348-1359
no,no,0.003,0.016,0,181.8,85,202.4,98,245.9,97,9.2,2,354-7339
no,yes,0.008,0.001,23,154,114,278,137,228.4,112,11.8,4,349-1687
no,yes,0.013,0.035,29,157.4,99,117.9,80,279.2,79,13.9,11,380-2558
no,no,0.012,0,0,207.9,91,172,109,191.8,143,14.4,7,365-2153
no,no,0.014,0.011,0,207,90,232.9,83,172.4,108,9.1,8,345-6043
no,yes,0.009,0.013,41,119,101,230,134,236.9,58,9.5,3,349-2808
yes,no,0.003,0.015,0,143.7,117,273,82,178.3,81,10.9,3,411-1715
no,yes,0.007,0.011,32,165.9,126,216.5,93,173.1,86,14.1,8,385-2488
no,no,0.019,0.006,0,138.6,122,172.3,117,231.6,92,9.8,3,377-7177
no,no,0,0.002,0,84.7,118,249.9,86,193.4,95,14.5,8,342-1099
yes,no,0.038,0.027,0,62.6,111,180.6,126,221.7,80,10.4,2,386-4170
no,no,0.003,0.014,0,155.2,79,235.3,123,169.4,80,8.7,4,413-1269
no,yes,0.009,0,25,164.9,110,209.3,105,231.2,55,6.7,9,396-4460
no,no,0.014,0.013,0,134.5,88,143.1,112,223.9,61,15.4,1,334-2730
no,no,0.012,0.003,0,143.3,103,211.3,108,185.2,96,11.5,3,340-3182
no,no,0,0.006,0,168.3,110,221.2,73,241,136,12.5,1,377-8608
no,no,0,0.015,0,262.4,55,194.6,113,146.5,85,8.3,6,417-3676
no,yes,0.009,0.005,30,206.2,79,260,91,291.6,83,11.4,6,417-6774
no,yes,0.009,0.008,28,225.8,94,193,117,232.4,100,8.4,9,411-9554
no,no,0,0.006,0,138.3,89,170.5,78,263.9,98,13.5,6,420-3192
no,yes,0.004,0.007,48,94.4,104,136.2,101,147.4,89,4.5,4,389-1475
yes,no,0.009,0.001,0,160,123,175.4,96,184.8,99,9.9,3,343-7734
no,no,0.013,0,0,206.6,105,224.9,117,249.9,100,14.6,3,410-3390
no,no,0.006,0.013,0,134.7,121,180,83,200.9,104,7.7,3,344-6495
no,yes,0.02,0.012,28,214.4,78,235.2,100,206.2,107,8,13,331-6229
no,no,0.01,0.011,0,192.8,104,234.4,96,203.2,101,13,3,337-7501
no,yes,0.009,0.013,28,151.1,90,194.8,79,239.2,114,10,3,339-9631
no,no,0.011,0.002,0,221.4,103,231.8,103,122.5,100,9.8,5,369-4384
yes,no,0.016,0.001,0,218.9,88,208,85,203.3,99,11.1,4,416-3915
no,yes,0.022,0.014,48,189.8,96,123.4,67,214.2,106,6.5,2,339-3049
no,yes,0.015,0.013,25,192.7,85,225.9,105,254.2,59,10.9,6,361-7998
yes,no,0.001,0,0,204.4,135,219.1,90,222.7,114,10.5,6,355-4842
no,no,0.015,0.011,0,172.3,97,174,108,188.2,119,13,4,387-6440
no,no,0.008,0.005,0,198.4,93,210.9,108,193.3,71,10.4,6,369-2625
no,yes,0.012,0.011,37,211.7,115,159.9,84,144.1,80,12.2,1,389-7073
no,yes,0.011,0.006,28,221.6,74,288.4,100,240.3,105,9,2,370-8463
no,no,0.007,0.003,0,197.9,108,181.5,109,281.4,56,6.7,5,362-7318
no,yes,0.006,0.012,24,147.5,90,175.7,108,252.1,102,15.6,3,412-1194
no,no,0.004,0.008,0,206.4,122,128,102,194.5,84,8.8,5,355-9508
no,no,0.019,0.006,0,205.9,88,209.3,86,289.9,84,14.5,4,352-8202
no,no,0.002,0.016,0,207.6,88,132.4,63,255.2,98,14.1,5,335-5882
no,no,0.026,0.012,0,303.9,95,260.9,114,312.1,89,5.3,3,352-6976
no,yes,0.008,0.006,34,230.6,121,219.4,99,299.3,94,8,2,393-6733
no,no,0.009,0.005,0,99.5,110,129.1,80,125.1,124,9.7,3,335-1838
no,no,0.014,0.009,0,177.1,112,194,112,146.7,108,5.9,4,355-6930
no,yes,0.005,0.015,37,172.7,93,120.1,116,216.1,86,10.3,5,387-5860
no,yes,0.01,0.006,18,172.7,86,133.4,113,259.5,70,9.8,3,343-2605
no,no,0.008,0.009,0,204.2,115,179.9,152,216.8,109,9.5,5,350-6759
no,no,0.008,0.002,0,85.7,83,247.7,67,142.4,85,10.1,5,371-1514
no,no,0.002,0.014,0,157.6,117,184.3,58,240.4,99,11.9,1,346-9317
no,no,0.014,0.016,0,215.5,129,218.7,117,207.1,91,6.6,9,398-4313
no,no,0.001,0.007,0,181.5,98,199.9,88,287.7,114,6.6,5,412-4399
no,no,0.004,0.016,0,171.7,80,110.4,81,195.4,111,11.9,4,330-1835
no,no,0.044,0.032,0,266.6,106,264.8,168,207.2,119,5.9,2,416-1676
no,no,0.033,0.021,0,170.4,108,350.5,68,297,87,11.2,3,329-7347
no,no,0.005,0.009,0,158,106,292.5,114,241.1,89,9.1,4,360-6868
no,no,0.012,0.012,0,92,117,253.6,77,214.1,90,10.3,10,405-6641
no,no,0.014,0.008,0,234,109,249.5,114,173.1,70,9.1,5,393-2373
no,no,0.056,0.028,0,272.1,111,268.5,118,213.8,105,8.5,10,419-1714
no,no,0.063,0.029,0,296.4,99,214.8,89,133.9,107,11.4,3,336-3819
no,no,0.015,0.011,0,194.4,101,190.3,82,183.4,107,11.4,2,341-3464
no,no,0.006,0.002,0,227.2,128,258.4,92,183.5,74,8.9,4,413-5310
no,no,0.052,0.018,0,248.7,109,220,118,265.7,78,13.2,2,366-7912
no,yes,0,0.001,38,236.3,102,195.9,112,183.5,82,9.7,6,399-8845
no,no,0.017,0.013,0,205.6,69,169.5,93,220.1,64,10.9,3,368-2583
no,no,0.017,0.006,0,94.1,136,280.3,122,205,77,9.8,4,360-6309
no,no,0.007,0.002,0,125.2,99,205.4,107,254.4,111,18.9,2,359-5890
no,no,0.015,0.002,0,60.4,158,306.2,120,123.9,46,12.4,3,332-2462
no,yes,0.013,0.009,28,121,105,270.4,100,160.5,76,7.7,4,381-9196
no,yes,0.018,0.007,29,117.8,66,256.8,114,147.6,76,7.6,3,329-3222
no,yes,0,0.011,21,232.4,96,211.9,118,273,102,5,5,363-5819
yes,yes,0.04,0.036,32,223.5,81,188.8,74,154.9,101,9.4,2,413-9269
no,no,0.014,0.015,0,176.3,79,259.2,97,287.4,78,6.2,3,330-7483
no,yes,0.02,0.007,32,125.2,79,177.8,105,232.4,89,12.9,3,403-7775
no,no,0.014,0.011,0,138.7,107,256.9,113,234.9,74,10,3,360-2479
no,no,0.02,0.014,0,86.3,134,246.6,92,251.6,91,11.3,4,394-3791
no,no,0.016,0.015,0,207,91,154.9,121,245.1,112,13.4,5,384-2632
no,yes,0.008,0.013,30,58.8,104,219.5,107,152.3,118,7.1,3,359-8466
