churn,state,account length,area code,phone number,account (days),Age,Gender,Occupation,Joining date,Subsciption renewal date,international plan,voice mail plan,%call drops,%Packet_drops,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,total day charge,total eve charge,total night charge,total intl charge,ARPU,customer service calls,Number of complaint raised,Time for resolution,payment_made_but_order_not_placed_and_amount_is_deducted_from_my_bank_account,Billing_issue,Calls_are_not_going,drop_calls,No_internet_connection,order,payment_refund,recharge_offer_service_fraud,Slow_network_coverage,uninformed___unsubscribed_weekly_amount_deduction,signalstrength_4g,signalstrength_3g,Duration of good signal strength% ,Duration of bad Signal strength %
TRUE,IN,65,415,329-6603,455,64,Female,Retire,20/03/2017,20/03/2019,no,no,0.012,0.037,0,129.1,137,228.5,83,208.8,111,12.7,6,21.95,19.42,9.4,3.43,54.2,4,1,38,0,0,0,0,0,0,1,0,0,0,-118,-107,0.873,0.127
FALSE,RI,74,415,344-9403,518,53,Male,Senior Professional,16/01/2017,16/01/2019,no,no,0.007,0.016,0,187.7,127,163.4,148,196,94,9.1,5,31.91,13.89,8.82,2.46,57.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-72,0.953,0.047
FALSE,IA,168,408,363-1107,1176,63,Male,Retire,30/03/2015,29/03/2017,no,no,0.015,0.001,0,128.8,96,104.9,71,141.1,128,11.2,2,21.9,8.92,6.35,3.02,40.19,1,1,16,0,0,0,0,0,1,0,0,0,0,-85,-70,0.991,0.009
FALSE,MT,95,510,394-8006,665,58,Male,Senior Professional,22/08/2016,22/08/2018,no,no,0.009,0.007,0,156.6,88,247.6,75,192.3,115,12.3,5,26.62,21.05,8.65,3.32,59.64,3,2,51,0,0,0,0,0,0,1,1,0,0,-86,-75,0.955,0.045
FALSE,IA,62,415,366-9238,434,65,Female,Retire,10/4/2017,10/4/2019,no,no,0.011,0.001,0,120.7,70,307.2,76,203,99,13.1,6,20.52,26.11,9.14,3.54,59.31,4,1,28,0,0,0,0,0,1,0,0,0,0,-84,-72,0.967,0.033
TRUE,NY,161,415,351-7269,1127,66,Female,Retire,18/05/2015,17/05/2017,no,no,0.012,0.013,0,332.9,67,317.8,97,160.6,128,5.4,9,56.59,27.01,7.23,1.46,92.29,4,3,91,0,0,0,0,2,0,0,0,1,0,-118,-104,0.779,0.221
FALSE,ID,85,408,350-8884,595,38,Male,Senior Professional,31/10/2016,31/10/2018,no,yes,0,0.014,27,196.4,139,280.9,90,89.3,75,13.8,4,33.39,23.88,4.02,3.73,65.02,1,1,7,0,0,1,0,0,0,0,0,0,0,-86,-71,0.951,0.049
FALSE,VT,93,510,386-2923,651,69,Male,Retire,5/9/2016,5/9/2018,no,no,0.015,0.012,0,190.7,114,218.2,111,129.6,121,8.1,3,32.42,18.55,5.83,2.19,58.99,3,2,59,0,0,0,0,0,0,0,1,1,0,-84,-70,0.98,0.02
FALSE,VA,76,510,356-2992,532,51,Male,Middle Management,2/1/2017,2/1/2019,no,yes,0.02,0.014,33,189.7,66,212.8,65,165.7,108,10,5,32.25,18.09,7.46,2.7,60.5,1,1,18,0,0,0,0,1,0,0,0,0,0,-93,-80,0.967,0.033
FALSE,TX,73,415,373-2782,511,59,Female,Senior Professional,23/01/2017,23/01/2019,no,no,0.007,0.011,0,224.4,90,159.5,88,192.8,74,13,2,38.15,13.56,8.68,3.51,63.9,1,1,16,0,0,1,0,0,0,0,0,0,0,-98,-86,0.955,0.045
FALSE,FL,147,415,396-5800,1029,22,Female,student,24/08/2015,23/08/2017,no,no,0.001,0.007,0,155.1,117,239.7,93,208.8,133,10.6,4,26.37,20.37,9.4,2.86,59,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-84,0.939,0.061
TRUE,CO,77,408,393-7984,539,69,Male,Retire,26/12/2016,26/12/2018,no,no,0.048,0.02,0,62.4,89,169.9,121,209.6,64,5.7,6,10.61,14.44,9.43,1.54,36.02,5,4,104,0,0,1,0,0,0,1,1,0,1,-110,-101,0.963,0.037
FALSE,AZ,130,415,358-1958,910,62,Female,Retire,21/12/2015,20/12/2017,no,no,0.002,0.011,0,183,112,72.9,99,181.8,78,9.5,19,31.11,6.2,8.18,2.57,48.06,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-80,0.949,0.051
FALSE,SC,111,415,350-2565,777,54,Male,Senior Professional,2/5/2016,2/5/2018,no,no,0.004,0.006,0,110.4,103,137.3,102,189.6,105,7.7,6,18.77,11.67,8.53,2.08,41.05,2,0,0,0,0,0,0,0,0,0,0,0,0,-93,-75,0.937,0.063
FALSE,VA,132,510,343-4696,924,18,Female,student,7/12/2015,6/12/2017,no,no,0.006,0.014,0,81.1,86,245.2,72,237,115,10.3,2,13.79,20.84,10.67,2.78,48.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-77,0.956,0.044
FALSE,NE,174,415,331-3698,1218,48,Male,Middle Management,16/02/2015,15/02/2017,no,no,0.011,0.003,0,124.3,76,277.1,112,250.7,115,15.5,5,21.13,23.55,11.28,4.19,60.15,3,2,39,0,0,0,1,0,0,1,0,0,0,-72,-57,0.943,0.057
FALSE,WY,57,408,357-3817,399,66,Male,Retire,15/05/2017,15/05/2019,no,yes,0.001,0.006,39,213,115,191.1,112,182.7,115,9.5,3,36.21,16.24,8.22,2.57,63.24,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-59,0.973,0.027
FALSE,MT,54,408,418-6412,378,73,Male,Retire,5/6/2017,5/6/2019,no,no,0.013,0.004,0,134.3,73,155.5,100,102.1,68,14.7,4,22.83,13.22,4.59,3.97,44.61,3,1,33,0,0,0,0,1,0,0,0,0,0,-86,-69,0.947,0.053
FALSE,MO,20,415,353-2630,140,75,Female,Retire,29/01/2018,29/01/2020,no,no,0.015,0,0,190,109,258.2,84,181.5,102,6.3,6,32.3,21.95,8.17,1.7,64.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-75,0.958,0.042
FALSE,HI,49,510,410-7789,343,67,Female,Retire,10/7/2017,10/7/2019,no,no,0.017,0.012,0,119.3,117,215.1,109,178.7,90,11.1,1,20.28,18.28,8.04,3,49.6,1,1,14,0,0,0,0,0,0,1,0,0,0,-69,-56,0.987,0.013
FALSE,IL,142,415,416-8428,994,75,Male,Retire,28/09/2015,27/09/2017,no,no,0.001,0.009,0,84.8,95,136.7,63,250.5,148,14.2,6,14.42,11.62,11.27,3.83,41.14,2,1,29,0,0,0,0,0,1,0,0,0,0,-75,-62,0.981,0.019
FALSE,NH,75,510,370-3359,525,23,Female,Middle Management,9/1/2017,9/1/2019,no,no,0.017,0.015,0,226.1,105,201.5,107,246.2,98,10.3,5,38.44,17.13,11.08,2.78,69.43,1,1,6,0,0,0,0,0,0,0,0,1,0,-69,-57,1,0
FALSE,LA,172,408,383-1121,1204,71,Male,Retire,2/3/2015,1/3/2017,no,no,0.008,0.01,0,212,121,31.2,115,293.3,78,12.6,10,36.04,2.65,13.2,3.4,55.29,3,0,0,0,0,0,0,0,0,0,0,0,0,-86,-74,0.998,0.002
TRUE,AZ,12,408,360-1596,84,45,Male,Middle Management,26/03/2018,25/03/2020,no,no,0.054,0.033,0,249.6,118,252.4,119,280.2,90,11.8,3,42.43,21.45,12.61,3.19,79.68,1,1,20,0,0,0,0,0,0,0,1,0,0,-112,-99,0.919,0.081
FALSE,OK,57,408,395-2854,399,69,Female,Retire,15/05/2017,15/05/2019,no,yes,0.002,0.01,25,176.8,94,195,75,213.5,116,8.3,4,30.06,16.58,9.61,2.24,58.49,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-74,0.998,0.002
FALSE,GA,72,415,362-1407,504,19,Female,student,30/01/2017,30/01/2019,no,yes,0.006,0.013,37,220,80,217.3,102,152.8,71,14.7,6,37.4,18.47,6.88,3.97,66.72,3,1,21,0,0,0,0,0,0,0,1,0,0,-85,-72,0.963,0.037
FALSE,AK,36,408,341-9764,252,41,Female,Sr Managers,9/10/2017,9/10/2019,no,yes,0.012,0.007,30,146.3,128,162.5,80,129.3,109,14.5,6,24.87,13.81,5.82,3.92,48.42,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-72,0.948,0.052
FALSE,MA,78,415,353-3305,546,67,Male,Retire,19/12/2016,19/12/2018,no,no,0.016,0.002,0,130.8,64,223.7,116,227.8,108,10,5,22.24,19.01,10.25,2.7,54.2,1,1,22,0,0,1,0,0,0,0,0,0,0,-66,-52,0.954,0.046
FALSE,AK,136,415,402-1381,952,43,Female,Sr Managers,9/11/2015,8/11/2017,yes,yes,0.007,0.012,33,203.9,106,187.6,99,101.7,107,10.5,6,34.66,15.95,4.58,2.84,58.03,3,2,34,0,0,0,1,0,1,0,0,0,0,-66,-52,0.994,0.006
FALSE,NJ,149,408,332-9891,1043,69,Male,Retire,10/8/2015,9/8/2017,no,no,0.017,0.007,0,140.4,94,271.8,92,188.3,108,11.1,9,23.87,23.1,8.47,3,58.44,1,1,20,0,0,0,0,0,0,0,0,0,1,-80,-75,0.998,0.002
FALSE,GA,98,408,372-9976,686,67,Male,Retire,1/8/2016,1/8/2018,no,no,0.009,0.013,0,126.3,102,166.8,85,187.8,135,9.4,2,21.47,14.18,8.45,2.54,46.64,3,3,66,0,0,1,0,1,0,1,0,0,0,-66,-55,0.991,0.009
TRUE,MD,135,408,383-6029,945,22,Male,student,16/11/2015,15/11/2017,yes,yes,0.049,0.027,41,173.1,85,203.9,107,122.2,78,14.6,15,29.43,17.33,5.5,3.94,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-118,-107,0.869,0.131
FALSE,AR,34,510,353-7289,238,54,Male,Senior Professional,23/10/2017,23/10/2019,no,no,0.007,0.006,0,124.8,82,282.2,98,311.5,78,10,4,21.22,23.99,14.02,2.7,61.93,2,0,0,0,0,0,0,0,0,0,0,0,0,-92,-87,0.93,0.07
FALSE,ID,160,415,390-7274,1120,57,Male,Senior Professional,25/05/2015,24/05/2017,no,no,0.004,0.003,0,85.8,77,165.3,110,178.5,92,9.2,4,14.59,14.05,8.03,2.48,39.15,3,2,62,0,0,1,1,0,0,0,0,0,0,-85,-85,0.97,0.03
FALSE,WI,64,510,352-1237,448,21,Male,student,27/03/2017,27/03/2019,no,no,0.005,0,0,154,67,225.8,118,265.3,86,3.5,3,26.18,19.19,11.94,0.95,58.26,1,1,7,0,0,0,0,0,0,1,0,0,0,-97,-84,0.961,0.039
FALSE,OR,59,408,353-3061,413,36,Female,Retire,1/5/2017,1/5/2019,no,yes,0.014,0.014,28,120.9,97,213,92,163.1,116,8.5,5,20.55,18.11,7.34,2.3,48.3,2,1,21,0,0,0,0,1,0,0,0,0,0,-88,-73,0.974,0.026
FALSE,MI,65,415,363-5450,455,44,Female,Sr Managers,20/03/2017,20/03/2019,no,no,0.017,0.016,0,211.3,120,162.6,122,134.7,118,13.2,5,35.92,13.82,6.06,3.56,59.36,3,2,61,0,0,0,0,0,0,0,1,0,1,-87,-76,0.952,0.048
FALSE,DE,142,408,364-1995,994,23,Female,student,28/09/2015,27/09/2017,no,no,0.016,0.005,0,187,133,134.6,74,242.2,127,7.4,5,31.79,11.44,10.9,2,56.13,2,1,29,0,0,0,0,0,0,0,0,1,0,-84,-69,0.974,0.026
TRUE,ID,119,415,398-1294,833,38,Female,Senior Professional,7/3/2016,7/3/2018,no,no,0.066,0.021,0,159.1,114,231.3,117,143.2,91,8.8,3,27.05,19.66,6.44,2.38,55.53,5,4,124,0,0,1,0,2,0,0,0,0,1,-110,-100,0.946,0.054
FALSE,WY,97,415,405-7146,679,51,Female,Middle Management,8/8/2016,8/8/2018,no,yes,0.014,0.011,24,133.2,135,217.2,58,70.6,79,11,3,22.64,18.46,3.18,2.97,47.25,1,1,3,0,0,0,0,0,0,1,0,0,0,-84,-64,0.933,0.067
FALSE,IA,52,408,413-4957,364,59,Male,Senior Professional,19/06/2017,19/06/2019,no,no,0.001,0.009,0,191.9,108,269.8,96,236.8,87,7.8,5,32.62,22.93,10.66,2.11,68.32,3,2,47,0,0,1,0,0,0,0,1,0,0,-84,-64,0.931,0.069
FALSE,IN,60,408,420-5645,420,28,Male,Sr Managers,24/04/2017,24/04/2019,no,no,0.009,0.014,0,220.6,57,211.1,115,249,129,6.8,3,37.5,17.94,11.21,1.84,68.49,1,1,19,0,0,0,0,0,0,1,0,0,0,-77,-62,0.935,0.065
FALSE,VA,10,408,349-4396,70,36,Female,Senior Professional,9/4/2018,8/4/2020,no,no,0.017,0.006,0,186.1,112,190.2,66,282.8,57,11.4,6,31.64,16.17,12.73,3.08,63.62,2,2,42,0,0,0,0,1,0,0,0,0,1,-95,-77,0.99,0.01
FALSE,UT,96,415,404-3211,672,69,Male,Retire,15/08/2016,15/08/2018,no,no,0.002,0.005,0,160.2,117,267.5,67,228.5,68,9.3,5,27.23,22.74,10.28,2.51,62.76,2,0,0,0,0,0,0,0,0,0,0,0,0,-87,-73,0.999,0.001
TRUE,WY,87,415,353-3759,609,59,Male,Senior Professional,17/10/2016,17/10/2018,no,no,0.057,0.025,0,151,83,219.7,116,203.9,127,9.7,3,25.67,18.67,9.18,2.62,56.14,5,3,65,0,1,1,0,0,0,1,0,0,0,-112,-102,0.881,0.119
FALSE,IN,81,408,363-5947,567,21,Female,student,28/11/2016,28/11/2018,no,no,0.014,0.004,0,175.5,67,249.3,85,270.2,98,10.2,3,29.84,21.19,12.16,2.75,65.94,1,1,22,1,0,0,0,0,0,0,0,0,0,-83,-68,0.973,0.027
FALSE,CO,141,415,340-5121,987,68,Female,Retire,5/10/2015,4/10/2017,no,no,0.006,0.011,0,126.9,98,180,62,140.8,128,8,2,21.57,15.3,6.34,2.16,45.37,1,1,11,0,0,0,0,1,0,0,0,0,0,-72,-70,0.942,0.058
TRUE,CO,121,408,370-7574,847,34,Male,student,22/02/2016,21/02/2018,no,yes,0.015,0.035,30,198.4,129,75.3,77,181.2,77,5.8,3,33.73,6.4,8.15,1.57,49.85,3,1,13,0,0,0,0,0,0,0,1,0,0,-122,-111,0.87,0.13
FALSE,WI,68,415,403-9733,476,71,Male,Retire,27/02/2017,27/02/2019,no,no,0.02,0.013,0,148.8,70,246.5,164,129.8,103,12.1,3,25.3,20.95,5.84,3.27,55.36,3,2,39,0,0,0,0,0,0,0,0,1,1,-72,-61,0.934,0.066
FALSE,OK,125,408,355-7251,875,66,Male,Retire,25/01/2016,24/01/2018,no,no,0.012,0.011,0,229.3,103,177.4,126,189.3,95,12,8,38.98,15.08,8.52,3.24,65.82,1,1,18,0,0,0,0,0,0,0,0,0,1,-85,-69,0.955,0.045
FALSE,ID,174,408,359-5893,1218,57,Male,Senior Professional,16/02/2015,15/02/2017,no,no,0.02,0.003,0,192.1,97,169.9,94,166.6,54,11.4,4,32.66,14.44,7.5,3.08,57.68,1,1,8,0,0,0,0,0,0,1,0,0,0,-86,-74,0.998,0.002
FALSE,CA,116,415,405-3371,812,64,Male,Retire,28/03/2016,28/03/2018,no,yes,0.016,0.005,34,268.6,83,178.2,142,166.3,106,11.6,3,45.66,15.15,7.48,3.13,71.42,2,0,0,0,0,0,0,0,0,0,0,0,0,-82,-71,1,0
FALSE,MN,74,510,344-5117,518,39,Male,Sr Managers,16/01/2017,16/01/2019,no,yes,0.01,0,33,193.7,91,246.1,96,138,92,14.6,3,32.93,20.92,6.21,3.94,64,2,1,18,0,0,0,0,0,0,1,0,0,0,-85,-72,0.953,0.047
FALSE,SD,149,408,332-8160,1043,46,Male,Middle Management,10/8/2015,9/8/2017,no,yes,0.011,0.013,28,180.7,92,187.8,64,265.5,53,12.6,3,30.72,15.96,11.95,3.4,62.03,3,1,19,0,0,0,0,0,1,0,0,0,0,-83,-75,0.974,0.026
FALSE,NC,38,408,359-4081,266,43,Male,Sr Managers,25/09/2017,25/09/2019,no,no,0.016,0.001,0,131.2,98,162.9,97,159,106,8.2,6,22.3,13.85,7.15,2.21,45.51,2,1,16,0,0,0,0,0,0,1,0,0,0,-81,-70,0.968,0.032
FALSE,WA,40,415,352-8305,280,65,Male,Retire,11/9/2017,11/9/2019,no,yes,0.011,0.004,41,148.1,74,169.5,88,214.1,102,6.2,5,25.18,14.41,9.63,1.67,50.89,2,1,12,0,0,0,0,0,0,1,0,0,0,-99,-85,0.923,0.077
FALSE,WY,43,415,329-9847,301,47,Female,Middle Management,21/08/2017,21/08/2019,yes,no,0.008,0.012,0,251.5,105,212.8,104,157.8,67,9.3,4,42.76,18.09,7.1,2.51,70.46,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-82,0.995,0.005
FALSE,MN,113,408,365-9011,791,43,Female,Sr Managers,18/04/2016,18/04/2018,yes,no,0.009,0.001,0,125.2,93,206.4,119,129.3,139,8.3,8,21.28,17.54,5.82,2.24,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-70,0.973,0.027
FALSE,UT,126,408,338-9472,882,35,Male,student,18/01/2016,17/01/2018,no,no,0.013,0.003,0,211.6,70,216.9,80,153.5,60,7.8,1,35.97,18.44,6.91,2.11,63.43,1,1,6,0,0,0,0,1,0,0,0,0,0,-80,-68,0.989,0.011
TRUE,TX,150,510,374-8042,1050,37,Female,Senior Professional,3/8/2015,2/8/2017,no,no,0.053,0.017,0,178.9,101,169.1,110,148.6,100,13.8,3,30.41,14.37,6.69,3.73,55.2,4,1,11,0,1,0,0,0,0,0,0,0,0,-115,-103,0.808,0.192
FALSE,NJ,138,408,359-1231,966,35,Male,Retire,26/10/2015,25/10/2017,no,no,0.01,0.013,0,241.8,93,170.5,83,295.3,104,11.8,7,41.11,14.49,13.29,3.19,72.08,3,2,34,0,0,1,0,0,0,0,0,0,1,-87,-66,0.954,0.046
FALSE,MN,162,510,413-7170,1134,57,Female,Senior Professional,11/5/2015,10/5/2017,no,yes,0.02,0.01,46,224.9,97,188.2,84,254.6,61,12.1,2,38.23,16,11.46,3.27,68.96,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-88,0.98,0.02
FALSE,NM,147,510,415-2935,1029,26,Female,Middle Management,24/08/2015,23/08/2017,no,no,0.002,0.003,0,248.6,83,148.9,85,172.5,109,8,4,42.26,12.66,7.76,2.16,64.84,3,2,28,0,0,0,0,0,0,0,1,1,0,-94,-81,0.964,0.036
FALSE,NV,90,415,399-4246,630,26,Male,Sr Managers,26/09/2016,26/09/2018,no,no,0.006,0.003,0,203.4,146,226.7,117,152.4,105,7.3,4,34.58,19.27,6.86,1.97,62.68,1,1,17,0,0,0,0,0,0,0,0,1,0,-93,-82,0.993,0.007
FALSE,HI,85,415,362-5889,595,34,Female,student,31/10/2016,31/10/2018,no,no,0.011,0.005,0,235.8,109,157.2,94,188.2,99,12,3,40.09,13.36,8.47,3.24,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-58,0.927,0.073
FALSE,MN,50,415,350-8921,350,21,Male,student,3/7/2017,3/7/2019,no,no,0.02,0.002,0,157.1,90,223.3,72,181.4,111,6.1,2,26.71,18.98,8.16,1.65,55.5,1,1,5,0,0,0,0,0,0,0,0,0,1,-73,-58,0.96,0.04
TRUE,DC,82,415,374-5353,574,57,Male,Senior Professional,21/11/2016,21/11/2018,no,no,0.01,0.012,0,300.3,109,181,100,270.1,73,11.7,4,51.05,15.39,12.15,3.16,81.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-113,-102,0.935,0.065
TRUE,NY,144,408,360-1171,1008,46,Male,Middle Management,14/09/2015,13/09/2017,no,no,0.031,0.011,0,61.6,117,77.1,85,173,99,8.2,7,10.47,6.55,7.79,2.21,27.02,4,1,13,0,0,0,0,0,0,0,0,1,0,-117,-106,0.956,0.044
FALSE,MN,46,415,355-8887,322,45,Female,Middle Management,31/07/2017,31/07/2019,no,no,0.012,0.016,0,214.1,72,164.4,104,177.5,113,8.2,3,36.4,13.97,7.99,2.21,60.57,2,2,35,0,0,0,0,0,1,0,0,1,0,-73,-58,0.934,0.066
FALSE,MD,70,408,333-1967,490,56,Male,Senior Professional,13/02/2017,13/02/2019,no,no,0.001,0.009,0,170.2,98,155.2,102,228.6,76,15,2,28.93,13.19,10.29,4.05,56.46,1,1,5,0,0,0,1,0,0,0,0,0,0,-91,-76,0.923,0.077
FALSE,WV,144,415,354-4577,1008,41,Male,Sr Managers,14/09/2015,13/09/2017,no,no,0.01,0.011,0,201.1,99,303.5,74,224,119,13.2,2,34.19,25.8,10.08,3.56,73.63,1,1,23,1,0,0,0,0,0,0,0,0,0,-84,-71,0.951,0.049
FALSE,OR,116,415,331-7425,812,23,Female,Senior Professional,28/03/2016,28/03/2018,yes,no,0.018,0.005,0,215.4,104,204.8,79,278.5,109,12.6,5,36.62,17.41,12.53,3.4,69.96,3,2,47,0,0,1,0,1,0,0,0,0,0,-98,-84,0.999,0.001
FALSE,CO,55,408,419-2637,385,30,Male,Middle Management,29/05/2017,29/05/2019,no,yes,0.009,0.001,25,165.6,123,136.1,95,175.7,90,11,2,28.15,11.57,7.91,2.97,50.6,3,0,0,0,0,0,0,0,0,0,0,0,0,-89,-79,0.937,0.063
FALSE,GA,70,415,411-1530,490,44,Female,Sr Managers,13/02/2017,13/02/2019,no,yes,0.007,0.013,24,249.5,101,259.7,98,222.7,68,9.8,4,42.42,22.07,10.02,2.65,77.16,1,1,19,0,0,0,0,0,1,0,0,0,0,-96,-83,0.948,0.052
TRUE,TX,106,510,395-3026,742,29,Female,student,6/6/2016,6/6/2018,no,no,0.033,0.021,0,210.6,96,249.2,85,191.4,88,12.4,1,35.8,21.18,8.61,3.35,68.94,2,1,26,0,0,0,0,0,0,0,1,0,0,-99,-88,0.912,0.088
FALSE,VT,128,510,388-6441,896,26,Male,Retire,4/1/2016,3/1/2018,no,yes,0.02,0,29,179.3,104,225.9,86,323,78,8.6,7,30.48,19.2,14.54,2.32,66.54,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-71,0.956,0.044
TRUE,IN,94,408,402-1251,658,35,Male,Sr Managers,29/08/2016,29/08/2018,no,no,0.02,0.024,0,157.9,105,155,101,189.6,84,8,5,26.84,13.18,8.53,2.16,50.71,4,3,94,0,1,0,1,0,0,1,0,0,0,-100,-87,0.973,0.027
FALSE,WV,111,510,412-9997,777,30,Male,Sr Managers,2/5/2016,2/5/2018,no,no,0.004,0.01,0,214.3,118,208.5,76,182.4,98,12,2,36.43,17.72,8.21,3.24,65.6,1,1,6,0,0,0,0,0,0,1,0,0,0,-90,-80,0.954,0.046
FALSE,KY,74,415,346-7302,518,54,Female,Senior Professional,16/01/2017,16/01/2019,no,yes,0.017,0.012,35,154.1,104,123.4,84,202.1,57,10.9,9,26.2,10.49,9.09,2.94,48.72,2,0,0,0,0,0,0,0,0,0,0,0,0,-90,-80,0.927,0.073
TRUE,NJ,128,415,358-9095,896,28,Female,student,4/1/2016,3/1/2018,no,no,0.061,0.018,0,237.9,125,247.6,93,208.9,68,13.9,4,40.44,21.05,9.4,3.75,74.64,1,1,9,0,0,0,0,1,0,0,0,0,0,-107,-94,0.843,0.157
FALSE,DC,82,510,400-9770,574,25,Female,Sr Managers,21/11/2016,21/11/2018,no,no,0.01,0.004,0,143.9,61,194.9,105,109.6,94,11.1,2,24.46,16.57,4.93,3,48.96,1,1,16,0,0,0,0,0,0,0,1,0,0,-78,-66,0.946,0.054
TRUE,LA,155,415,334-1275,1085,20,Female,student,29/06/2015,28/06/2017,no,no,0.003,0.023,0,203.4,100,190.9,104,196,119,8.9,4,34.58,16.23,8.82,2.4,62.03,0,0,0,0,0,0,0,0,0,0,0,0,0,-114,-114,0.982,0.018
FALSE,AR,80,415,340-4953,560,26,Male,Senior Professional,5/12/2016,5/12/2018,no,no,0.007,0,0,124.3,100,173,107,253.2,62,7.9,9,21.13,14.71,11.39,2.13,49.36,1,1,7,0,0,0,0,0,0,0,0,1,0,-78,-63,0.934,0.066
FALSE,ME,78,415,400-9510,546,34,Female,Senior Professional,19/12/2016,19/12/2018,no,no,0.014,0.005,0,252.9,93,178.4,112,263.9,105,9.5,7,42.99,15.16,11.88,2.57,72.6,3,1,18,0,0,0,0,0,0,0,0,1,0,-88,-75,0.991,0.009
